Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,20,ORL,NBA,SF,82,2390,,11%,81%,7%,,+2.6,+3.9,40,28,29,98,,17,,313,45,12,30
2001-02,21,ORL,NBA,SF,63,2123,,15%,75%,10%,,+3.9,+4.6,45,34,29,68,,19,,444,77,17,46
2002-03,22,TOT,NBA,SF,65,2186,,19%,75%,5%,,+2.0,+5.1,43,36,46,0,,0,,381,0,16,43
2002-03,22,ORL,NBA,SF,49,1826,,21%,72%,7%,,+1.2,+2.1,35,28,36,54,,22,,313,59,14,36
2002-03,22,MEM,NBA,SF,16,360,,10%,90%,,,+5.7,+10.1,8,8,10,15,,6,,68,12,2,7
2003-04,23,MEM,NBA,SF,65,1770,,19%,78%,3%,,+3.4,+1.0,51,22,34,74,,23,,519,54,11,35
2004-05,24,MEM,NBA,SF,76,2278,,1%,98%,1%,,+5.6,+6.5,59,29,39,83,,28,,508,59,20,38
2005-06,25,MEM,NBA,SG,74,2268,,46%,52%,2%,,+2.3,-5.1,71,28,41,77,,27,,454,75,25,31
2006-07,26,MEM,NBA,SG,70,2740,,39%,59%,2%,,-5.9,-1.1,94,41,44,70,,20,,656,75,29,36
2007-08,27,MEM,NBA,SG,70,2474,,45%,53%,2%,,-5.2,+4.0,86,47,49,66,,27,,548,82,31,42
2008-09,28,MIN,NBA,SF,73,2356,,29%,70%,1%,,-6.1,-1.2,80,36,29,64,,21,,751,57,15,26
2009-10,29,WAS,NBA,SG,54,1805,,52%,40%,8%,,-5.5,+0.1,63,24,28,67,,15,,456,33,12,16
2010-11,30,MIA,NBA,SG,41,838,,55%,45%,,,-1.1,-12.3,27,4,10,36,,6,,116,12,5,11
2011-12,31,MIA,NBA,SG,39,752,4%,75%,21%,,,+10.3,+4.7,18,8,4,28,,1,,93,2,0,8
2012-13,32,MIA,NBA,SF,59,900,,45%,55%,,,+3.6,-7.1,19,8,8,36,,4,1,229,2,0,8
2013-14,33,MEM,NBA,SF,82,1707,,33%,65%,2%,,-2.3,-7.7,50,10,17,44,0,13,8,286,14,2,10
2014-15,34,CLE,NBA,SF,52,701,,26%,43%,31%,,-6.1,-13.0,15,3,4,33,1,4,4,105,0,0,3
2015-16,35,DEN,NBA,SF,46,373,,,48%,52%,1%,-12.8,-10.7,11,2,4,24,2,4,5,93,0,0,3
2016-17,36,DEN,NBA,SF,9,49,,,60%,40%,,-4.9,-3.3,1,4,0,1,0,0,0,16,0,0,0
