Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1996-97,22,LAL,NBA,PG,80,921,11.0,.491,.279,.458,3.1,8.8,6.0,20.1,2.3,0.4,18.4,18.8,,0.0,1.0,1.1,.056,,-2.5,-1.0,-3.5,-0.3
1997-98,23,LAL,NBA,PG,82,1760,12.9,.533,.214,.402,2.5,9.7,6.2,27.0,2.2,0.2,21.1,14.1,,2.2,1.6,3.8,.104,,-0.5,-0.8,-1.3,0.3
1998-99,24,LAL,NBA,PG,50,1131,12.1,.497,.369,.300,2.2,7.1,4.7,25.8,2.8,0.1,20.5,14.9,,1.0,0.7,1.7,.072,,0.1,-1.2,-1.1,0.2
1999-00,25,LAL,NBA,PG,78,1803,9.6,.449,.344,.300,1.3,7.1,4.2,17.1,2.3,0.1,12.1,15.1,,0.5,2.6,3.1,.083,,-1.6,0.0,-1.6,0.2
2000-01,26,LAL,NBA,PG,20,709,14.0,.534,.337,.332,0.8,8.5,4.7,18.3,2.9,0.2,11.9,15.4,,1.2,0.5,1.8,.119,,1.3,-0.6,0.7,0.5
2001-02,27,LAL,NBA,PG,70,1974,14.0,.550,.524,.167,0.8,7.2,4.1,13.9,1.7,0.3,8.0,17.6,,3.7,1.8,5.5,.134,,2.2,-1.3,0.8,1.4
2002-03,28,LAL,NBA,PG,82,2829,11.9,.520,.274,.161,1.6,8.0,4.8,16.1,1.7,0.4,10.2,14.5,,3.8,1.4,5.2,.088,,0.3,-1.2,-0.9,0.8
2003-04,29,LAL,NBA,SG,82,1769,11.5,.451,.311,.266,1.9,7.9,4.9,16.3,3.0,0.2,10.9,18.3,,0.4,2.0,2.4,.066,,-1.2,-0.2,-1.4,0.3
2004-05,30,GSW,NBA,PG,74,2222,13.4,.519,.385,.269,1.8,9.2,5.3,21.6,1.8,0.1,13.3,19.4,,2.3,1.4,3.7,.080,,0.3,-1.3,-1.0,0.6
2005-06,31,GSW,NBA,PG,82,2589,14.8,.536,.333,.330,1.5,7.7,4.5,22.6,2.5,0.2,13.3,20.2,,3.4,2.4,5.8,.107,,1.0,-0.5,0.5,1.6
2006-07,32,UTA,NBA,SG,82,2287,11.4,.510,.231,.455,1.6,6.3,4.0,18.1,1.9,0.2,12.9,18.2,,2.4,1.5,3.9,.083,,-0.4,-1.3,-1.6,0.2
2007-08,33,LAL,NBA,PG,82,2249,13.8,.556,.355,.242,1.2,6.9,4.2,15.9,1.9,0.1,9.5,18.6,,3.7,2.0,5.7,.121,,1.1,-1.5,-0.3,1.0
2008-09,34,LAL,NBA,PG,82,2441,12.1,.546,.439,.189,1.2,7.4,4.4,14.9,2.0,0.2,8.8,14.7,,3.6,2.7,6.3,.123,,0.9,-0.3,0.6,1.6
2009-10,35,LAL,NBA,PG,82,2227,9.3,.499,.401,.237,1.3,7.2,4.3,12.9,2.1,0.3,11.2,14.0,,1.2,2.7,3.9,.085,,-1.2,0.4,-0.8,0.7
2010-11,36,LAL,NBA,PG,82,2297,8.9,.486,.301,.195,0.7,6.6,3.7,14.0,2.3,0.3,10.9,12.8,,1.2,2.5,3.7,.078,,-1.6,0.3,-1.2,0.4
2011-12,37,TOT,NBA,PG,63,1508,8.0,.464,.313,.193,0.9,7.7,4.5,16.7,1.8,0.2,16.2,13.6,,0.1,1.1,1.2,.038,,-2.3,-0.7,-3.0,-0.4
2011-12,37,LAL,NBA,PG,43,1101,8.8,.479,.308,.221,1.1,8.0,4.7,19.2,1.9,0.2,18.1,13.4,,0.2,0.9,1.1,.048,,-2.0,-0.4,-2.4,-0.1
2011-12,37,OKC,NBA,PG,20,407,5.9,.429,.324,.130,0.6,7.1,4.1,10.1,1.4,0.2,11.6,14.3,,-0.2,0.2,0.1,.011,,-3.1,-1.5,-4.6,-0.3
2012-13,38,TOT,NBA,SG-PG,33,575,7.7,.492,.497,.236,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,,0.0,0.4,0.4,.034,,-2.1,-2.0,-4.1,-0.3
2012-13,38,DAL,NBA,PG,9,229,8.7,.513,.354,.354,0.0,7.2,3.6,19.5,1.1,0.7,19.3,18.5,,0.0,0.1,0.1,.016,,-2.7,-2.4,-5.1,-0.2
2012-13,38,OKC,NBA,SG,24,346,7.0,.478,.594,.156,0.7,6.2,3.6,6.6,2.1,0.2,10.5,15.1,,0.0,0.3,0.3,.046,,-1.8,-1.7,-3.5,-0.1
2013-14,39,OKC,NBA,SG,81,1428,10.1,.542,.634,.197,1.0,8.3,4.8,11.6,2.5,0.2,11.1,13.7,,1.4,1.7,3.1,.103,,0.0,-0.5,-0.5,0.5
