Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,LAL,NBA,PG,80,3,921,4.1,10.2,.397,0.9,2.9,.301,3.2,7.4,.434,3.1,4.7,.658,1.0,2.8,3.8,4.7,1.6,0.2,2.8,3.4,12.1
1997-98,23,LAL,NBA,PG,82,36,1760,3.4,7.7,.434,0.6,1.7,.383,2.7,6.1,.448,2.4,3.1,.757,0.8,3.2,3.9,6.8,1.5,0.1,2.4,2.6,9.7
1998-99,24,LAL,NBA,PG,50,21,1131,3.2,8.4,.376,1.2,3.1,.392,1.9,5.3,.367,1.9,2.5,.759,0.7,2.2,2.9,6.3,1.9,0.0,2.5,3.0,9.4
1999-00,25,LAL,NBA,PG,78,22,1803,3.3,9.6,.346,1.0,3.3,.313,2.3,6.3,.363,2.1,2.9,.724,0.4,2.4,2.9,4.3,1.6,0.1,1.5,3.0,9.8
2000-01,26,LAL,NBA,PG,20,20,709,3.9,9.5,.412,1.3,3.2,.397,2.6,6.3,.419,2.5,3.1,.806,0.3,2.7,3.0,4.4,2.0,0.1,1.5,2.5,11.6
2001-02,27,LAL,NBA,PG,70,35,1974,5.0,12.1,.411,2.6,6.4,.413,2.4,5.8,.410,1.7,2.0,.847,0.3,2.4,2.7,3.3,1.2,0.2,1.1,2.2,14.3
2002-03,28,LAL,NBA,PG,82,82,2829,4.3,9.9,.437,1.1,2.7,.401,3.2,7.2,.451,1.3,1.6,.800,0.5,2.5,3.0,3.8,1.2,0.2,1.2,2.5,11.0
2003-04,29,LAL,NBA,SG,82,3,1769,4.1,11.7,.352,1.1,3.6,.291,3.1,8.1,.380,2.5,3.1,.797,0.6,2.5,3.1,3.8,2.1,0.1,1.6,2.3,11.8
2004-05,30,GSW,NBA,PG,74,32,2222,4.8,12.2,.393,1.7,4.7,.371,3.1,7.5,.407,2.8,3.3,.862,0.6,2.9,3.5,4.9,1.2,0.1,2.1,2.9,14.2
2005-06,31,GSW,NBA,PG,82,36,2589,5.1,12.3,.410,1.6,4.1,.397,3.4,8.2,.417,3.4,4.1,.833,0.5,2.4,2.9,4.9,1.7,0.1,2.2,3.3,15.1
2006-07,32,UTA,NBA,SG,82,61,2287,4.1,10.6,.382,0.8,2.5,.308,3.3,8.2,.405,4.1,4.8,.853,0.5,1.9,2.3,4.3,1.3,0.1,1.9,3.7,13.0
2007-08,33,LAL,NBA,PG,82,82,2249,5.4,12.4,.436,1.8,4.4,.406,3.6,8.0,.453,2.7,3.0,.883,0.4,2.3,2.7,3.8,1.4,0.0,1.4,3.0,15.3
2008-09,34,LAL,NBA,PG,82,82,2441,4.3,10.1,.424,1.8,4.5,.397,2.5,5.7,.446,1.6,1.9,.846,0.4,2.4,2.8,3.8,1.4,0.1,1.1,2.8,12.0
2009-10,35,LAL,NBA,PG,82,82,2227,3.4,9.0,.380,1.3,3.6,.348,2.2,5.4,.401,1.8,2.1,.856,0.4,2.3,2.7,3.2,1.5,0.1,1.3,3.3,9.9
2010-11,36,LAL,NBA,PG,82,82,2297,3.2,8.3,.389,1.0,2.5,.396,2.2,5.8,.386,1.3,1.6,.806,0.2,2.2,2.4,3.5,1.6,0.1,1.1,3.0,8.7
2011-12,37,TOT,NBA,PG,63,43,1508,3.1,8.3,.371,0.8,2.6,.321,2.2,5.7,.393,1.4,1.6,.851,0.3,2.6,2.9,4.1,1.2,0.1,1.7,2.8,8.4
2011-12,37,LAL,NBA,PG,43,43,1101,3.0,7.8,.383,0.8,2.4,.324,2.2,5.4,.410,1.4,1.7,.830,0.3,2.7,3.0,4.6,1.3,0.1,1.9,2.8,8.2
2011-12,37,OKC,NBA,PG,20,0,407,3.3,9.6,.343,1.0,3.1,.314,2.3,6.5,.356,1.1,1.2,.929,0.2,2.4,2.6,2.5,1.0,0.1,1.3,2.8,8.7
2012-13,38,TOT,NBA,SG-PG,33,9,575,3.4,10.1,.342,1.9,5.0,.375,1.6,5.1,.309,2.2,2.4,.921,0.1,2.2,2.3,2.9,1.2,0.2,1.9,3.4,11.0
2012-13,38,DAL,NBA,PG,9,9,229,3.6,10.2,.354,1.6,3.6,.435,2.0,6.6,.310,3.3,3.6,.913,0.0,2.4,2.4,4.9,0.8,0.3,2.8,3.8,12.1
2012-13,38,OKC,NBA,SG,24,0,346,3.3,10.0,.333,2.1,5.9,.351,1.2,4.1,.308,1.5,1.6,.933,0.2,2.1,2.3,1.7,1.5,0.1,1.2,3.2,10.2
2013-14,39,OKC,NBA,SG,81,0,1428,3.6,9.1,.391,2.2,5.8,.384,1.3,3.3,.402,1.4,1.8,.775,0.3,2.8,3.1,2.9,1.8,0.1,1.2,4.0,10.7
