Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,26,DET,NBA,C,80,2760,,,1%,31%,68%,+0.6,+7.8,52,26,39,110,,12,,281,82,17,40
2001-02,27,DET,NBA,C,80,2921,,,,29%,70%,+3.5,+3.2,27,22,21,109,,8,,265,92,24,43
2002-03,28,DET,NBA,C,73,2873,,,1%,15%,85%,+5.1,+3.4,44,22,22,114,,8,,265,71,18,29
2003-04,29,DET,NBA,C,81,3050,,,,36%,63%,+7.5,+4.4,56,38,29,90,,10,,299,113,29,79
2004-05,30,DET,NBA,C,74,2671,,,,9%,91%,+7.2,+7.9,29,32,21,81,,12,,277,128,36,70
2005-06,31,DET,NBA,C,82,2890,,,,2%,98%,+11.8,+13.8,44,21,23,89,,7,,349,111,31,34
2006-07,32,CHI,NBA,C,77,2697,,,,6%,94%,+3.7,-5.1,50,25,26,84,,10,,407,110,20,31
2007-08,33,TOT,NBA,C-PF,72,2205,,,,41%,59%,-3.1,-2.0,36,16,15,0,,0,,239,0,11,34
2007-08,33,CHI,NBA,C,50,1627,,,,20%,79%,-4.3,-1.9,30,11,8,49,,6,,205,52,9,24
2007-08,33,CLE,NBA,PF,22,578,,,,99%,1%,+0.2,+0.4,6,5,7,20,,3,,34,19,2,10
2008-09,34,CLE,NBA,PF,56,1314,,,,95%,5%,+18.2,+11.8,11,14,9,54,,3,,92,22,2,13
2009-10,35,DET,NBA,C,69,1975,,3%,25%,3%,69%,-1.0,+9.6,32,17,15,68,,7,,224,59,12,18
2010-11,36,DET,NBA,C,54,1238,,,2%,43%,55%,-7.1,-4.6,20,16,8,44,,1,,156,24,5,14
2011-12,37,DET,NBA,C,62,980,,,10%,34%,56%,-4.8,+1.2,21,5,8,32,,3,,97,9,1,5
