Player,Sim,1,2,3,4,5,6,7,8,9
Jared Dudley,,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4
Mike Bantom,91.8,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5
Nick Collison,91.8,5.2,5.0,4.7,4.6,4.5,3.9,3.6,3.5,2.3
John Salley,91.6,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5
Robert Reid,90.8,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3.0,2.3
Bill Bradley,90.6,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1
Mark Olberding,90.0,6.6,5.1,5.1,4.3,4.2,4.1,3.9,3.1,2.3
Juwan Howard,90.0,7.0,6.0,5.6,4.9,4.6,4.4,2.8,2.8,1.9
Terry Tyler,89.9,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9
Sam Mitchell,89.8,6.1,5.1,5.1,4.3,3.7,3.3,2.8,2.3,2.2
Larry Smith,89.6,6.1,5.4,5.2,4.7,4.3,4.0,3.7,3.1,0.3
