Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,ORL,NBA,C,59,2,664,3.7,9.5,.389,0.0,0.0,,3.7,9.5,.389,3.1,4.9,.644,3.7,5.7,9.4,0.7,1.1,0.7,1.8,4.7,10.5
2004-05,20,MIL,NBA,C,74,4,1397,4.1,9.1,.452,0.0,0.0,.000,4.1,9.1,.453,3.6,4.8,.746,3.4,6.4,9.7,1.5,1.1,0.9,1.8,4.3,11.8
2005-06,21,ATL,NBA,C,78,78,2452,4.5,10.0,.451,0.0,0.0,.000,4.5,10.0,.452,4.4,5.9,.735,3.9,5.1,9.0,1.9,1.3,0.6,2.6,4.2,13.4
2006-07,22,ATL,NBA,C,72,47,2026,5.2,10.9,.474,0.0,0.0,.000,5.2,10.9,.475,5.2,6.6,.786,3.5,5.3,8.9,1.9,1.4,0.6,2.9,4.7,15.5
2007-08,23,ATL,NBA,C,62,5,944,4.1,9.3,.437,0.0,0.1,.000,4.1,9.2,.442,4.1,5.8,.706,3.4,6.1,9.5,1.4,0.9,0.5,2.6,5.3,12.3
2008-09,24,ATL,NBA,C,77,26,1473,3.9,7.8,.497,0.0,0.1,.000,3.9,7.7,.502,4.0,5.6,.709,4.2,6.4,10.7,1.4,0.9,0.6,2.2,5.1,11.8
2009-10,25,ATL,NBA,C,78,1,1089,4.0,8.1,.488,0.0,0.1,.000,4.0,8.0,.496,3.1,4.7,.650,3.9,5.8,9.7,1.4,1.2,1.0,1.9,6.1,11.0
2010-11,26,ATL,NBA,C,79,7,1244,3.1,6.7,.461,0.0,0.0,,3.1,6.7,.461,3.9,5.2,.754,3.4,6.2,9.6,1.7,1.0,0.6,2.0,5.3,10.1
2011-12,27,ATL,NBA,C,58,44,1640,3.7,7.4,.499,0.0,0.0,,3.7,7.4,.499,2.6,3.5,.741,3.4,6.7,10.0,1.7,1.2,0.6,1.8,3.8,10.0
2012-13,28,ATL,NBA,C,52,15,1134,3.6,7.7,.473,0.0,0.1,.000,3.6,7.6,.479,2.5,3.3,.757,4.2,6.5,10.7,2.5,1.1,0.4,2.2,4.1,9.7
2013-14,29,MIL,NBA,C,53,43,1325,4.0,9.5,.427,0.0,0.0,.000,4.0,9.5,.428,3.0,3.5,.846,3.8,5.2,9.0,3.7,1.2,0.4,2.5,3.4,11.1
2014-15,30,MIL,NBA,C,73,45,1730,5.0,11.0,.454,0.0,0.1,.000,5.0,10.9,.456,2.6,3.3,.788,4.1,6.3,10.4,3.7,1.7,0.4,2.8,3.5,12.6
2015-16,31,DAL,NBA,C,76,69,2004,3.9,8.4,.466,0.0,0.1,.000,3.9,8.4,.469,3.8,5.0,.768,4.5,8.4,12.9,2.3,1.1,0.4,2.1,3.3,11.7
2016-17,32,GSW,NBA,C,44,44,826,4.2,7.9,.527,0.0,0.0,,4.2,7.9,.527,3.0,3.8,.773,4.1,7.5,11.5,3.8,1.8,0.8,2.4,4.5,11.3
