Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1999-00,21,WAS,NBA,SG,71,12,1373,9.6,22.8,.420,1.1,2.9,.364,8.5,19.9,.428,3.9,5.0,.774,1.4,3.4,4.9,4.1,1.1,0.2,3.2,5.4,24.1,,98,111
2000-01,22,WAS,NBA,SF,78,42,2519,11.2,25.7,.438,0.8,3.0,.274,10.4,22.7,.460,5.7,6.6,.868,1.5,3.4,4.9,4.6,1.5,0.2,4.1,4.2,29.0,,100,111
2001-02,23,WAS,NBA,SG,63,57,2203,11.6,26.7,.435,0.4,1.0,.381,11.2,25.7,.438,7.4,8.3,.890,1.8,3.5,5.3,4.2,0.9,0.3,3.3,3.4,31.1,,105,111
2002-03,24,DET,NBA,SG,82,82,2640,11.9,26.9,.443,0.7,2.5,.269,11.3,24.5,.461,9.2,11.1,.833,1.8,4.8,6.7,4.4,1.3,0.3,4.2,5.2,33.8,,104,103
2003-04,25,DET,NBA,SG,78,78,2772,10.4,23.0,.455,0.4,1.3,.265,10.1,21.6,.466,5.9,6.7,.868,1.5,4.0,5.5,6.1,2.0,0.3,4.1,4.4,27.1,,103,99
2004-05,26,DET,NBA,SG,76,76,2926,9.6,21.8,.440,0.7,2.2,.305,8.9,19.6,.455,6.9,8.1,.858,1.4,4.2,5.6,7.0,1.4,0.2,4.1,4.4,26.8,,106,105
2005-06,27,DET,NBA,SG,80,80,2825,12.7,25.9,.491,1.1,2.3,.458,11.6,23.5,.494,5.0,5.9,.845,1.6,3.4,5.0,5.4,1.0,0.3,3.4,4.1,31.5,,109,108
2006-07,28,DET,NBA,SG,75,75,2763,10.9,23.3,.468,0.9,2.6,.341,10.0,20.7,.483,6.9,8.0,.861,1.5,4.1,5.6,5.7,1.2,0.3,3.2,4.6,29.6,,112,108
2007-08,29,DET,NBA,SG,72,72,2424,11.3,23.4,.484,1.4,3.2,.440,9.9,20.2,.492,4.2,5.0,.833,1.7,3.6,5.3,6.8,1.7,0.2,3.0,3.9,28.2,,113,106
2008-09,30,DET,NBA,SG,67,51,2279,11.3,25.3,.447,1.7,4.6,.368,9.6,20.7,.464,5.4,6.4,.848,1.1,4.0,5.0,7.2,1.0,0.1,3.2,4.3,29.7,,108,112
2009-10,31,DET,NBA,SG,46,46,1552,10.2,25.0,.409,1.4,4.8,.297,8.8,20.2,.435,7.1,8.4,.846,1.0,3.2,4.3,7.1,1.0,0.1,4.0,4.0,29.0,,104,115
2010-11,32,DET,NBA,SG,55,39,1498,10.4,24.1,.429,2.0,5.2,.382,8.4,18.9,.442,5.2,6.2,.849,0.9,3.7,4.5,6.1,1.4,0.1,3.2,3.4,27.9,,106,115
2011-12,33,CHI,NBA,SG,28,28,697,10.8,23.9,.452,1.3,3.6,.370,9.5,20.4,.466,2.2,2.9,.784,1.5,3.6,5.1,6.5,0.9,0.1,3.8,4.3,25.2,,101,104
2012-13,34,CHI,NBA,SG,50,45,1088,10.1,23.5,.429,0.8,2.6,.308,9.3,20.9,.444,3.3,3.8,.857,0.8,3.3,4.1,5.9,1.2,0.2,4.1,4.6,24.2,,94,107
