Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,25,PHI,NBA,SG,71,2979,40%,60%,,,,+5.7,+4.1,104,74,59,46,,25,,696,267,61,142
2001-02,26,PHI,NBA,SG,60,2622,16%,84%,,,,+5.2,+10.0,117,76,44,33,,22,,689,203,41,98
2002-03,27,PHI,NBA,SG,82,3485,21%,77%,2%,,,+2.3,-1.2,157,83,46,48,,26,,948,262,51,112
2003-04,28,PHI,NBA,SG,48,2040,28%,72%,,,,-2.1,+1.1,110,52,47,24,,29,,695,175,34,69
2004-05,29,PHI,NBA,PG,75,3174,100%,,,,,+0.1,+4.6,183,102,59,34,,24,,1336,294,59,113
2005-06,30,PHI,NBA,PG,72,3103,100%,,,,,-0.2,+8.6,131,79,38,49,,17,,1169,343,68,103
2006-07,31,TOT,NBA,SG-PG,65,2761,50%,50%,,,,+0.2,+1.2,152,66,50,0,,0,,1050,0,58,72
2006-07,31,PHI,NBA,PG,15,640,100%,,,,,-3.8,-0.7,39,9,18,7,,7,,235,73,16,16
2006-07,31,DEN,NBA,SG,50,2121,35%,65%,,,,+1.3,-1.1,113,57,32,31,,14,,815,187,42,56
2007-08,32,DEN,NBA,SG,82,3424,44%,56%,,,,+4.9,+9.8,131,66,48,42,,23,,1373,326,70,104
2008-09,33,TOT,NBA,PG-SG,57,2093,96%,4%,,,,-1.7,-4.5,78,42,26,0,,0,,634,0,25,41
2008-09,33,DEN,NBA,SG,3,123,36%,64%,,,,+2.5,-1.2,5,4,1,1,,0,,43,9,1,1
2008-09,33,DET,NBA,PG,54,1970,100%,,,,,-2.0,-3.1,73,38,25,35,,12,,591,135,24,40
2009-10,34,TOT,NBA,SG-PG,28,865,33%,67%,,,,-3.8,-0.8,40,13,11,0,,0,,254,0,12,23
2009-10,34,MEM,NBA,PG,3,67,100%,,,,,-14.9,-13.5,3,3,1,1,,0,,24,2,0,0
2009-10,34,PHI,NBA,SG,25,798,27%,73%,,,,-2.8,+2.4,37,10,10,20,,5,,230,57,12,23
