Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,23,SAC,NBA,PG,16,16,661,6.2,14.0,.444,1.4,3.2,.424,4.8,10.8,.449,3.9,4.7,.826,0.8,2.5,3.3,4.4,1.3,0.2,2.0,1.6,17.6
2002-03,24,SAC,NBA,PG,12,12,404,5.1,12.0,.422,1.0,3.5,.282,4.1,8.6,.479,2.4,3.0,.794,0.7,2.0,2.8,5.3,1.2,0.4,1.6,2.8,13.5
2003-04,25,SAC,NBA,PG,12,12,497,6.1,14.2,.429,1.7,4.0,.436,4.3,10.2,.426,3.5,4.0,.873,0.7,3.0,3.6,6.1,1.7,0.4,2.5,2.9,17.4
2004-05,26,SAC,NBA,PG,5,5,200,6.5,16.6,.391,0.9,4.1,.217,5.6,12.4,.449,3.8,4.9,.778,0.9,3.1,4.0,5.9,1.3,0.4,2.3,2.0,17.6
2005-06,27,SAC,NBA,PG,6,6,255,4.5,13.0,.348,1.3,3.7,.346,3.2,9.3,.348,3.8,4.2,.900,0.8,2.4,3.2,4.4,1.3,0.0,2.5,2.4,14.1
2007-08,29,ATL,NBA,PG,7,7,252,3.1,9.3,.338,1.0,3.4,.292,2.1,5.9,.366,3.0,4.6,.656,0.4,2.7,3.1,3.1,0.6,0.3,1.9,1.7,10.3
2008-09,30,ATL,NBA,PG,11,11,390,4.5,9.8,.462,2.4,4.4,.542,2.1,5.4,.397,1.9,2.0,.955,0.6,2.9,3.4,4.2,0.9,0.2,2.2,3.1,13.4
2009-10,31,ATL,NBA,PG,11,11,292,4.4,9.9,.450,1.7,4.2,.412,2.7,5.7,.478,0.9,1.2,.700,0.6,2.8,3.5,3.5,1.1,0.0,1.5,3.2,11.5
2010-11,32,MIA,NBA,PG,20,20,415,2.3,8.3,.281,1.5,5.7,.258,0.9,2.6,.333,0.2,0.3,.500,0.4,2.7,3.1,2.0,1.0,0.5,1.5,2.6,6.3
2011-12,33,NYK,NBA,PG,5,1,118,2.7,7.0,.391,2.1,5.2,.412,0.6,1.8,.333,0.6,0.9,.667,0.9,5.5,6.4,4.0,0.3,0.0,1.2,2.1,8.2
