Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,23,SAC,NBA,PG,16,16,661,114,257,.444,25,59,.424,89,198,.449,.492,71,86,.826,14,46,60,80,23,3,37,30,324
2002-03,24,SAC,NBA,PG,12,12,404,57,135,.422,11,39,.282,46,96,.479,.463,27,34,.794,8,23,31,60,14,5,18,31,152
2003-04,25,SAC,NBA,PG,12,12,497,84,196,.429,24,55,.436,60,141,.426,.490,48,55,.873,9,41,50,84,23,5,35,40,240
2004-05,26,SAC,NBA,PG,5,5,200,36,92,.391,5,23,.217,31,69,.449,.418,21,27,.778,5,17,22,33,7,2,13,11,98
2005-06,27,SAC,NBA,PG,6,6,255,32,92,.348,9,26,.346,23,66,.348,.397,27,30,.900,6,17,23,31,9,0,18,17,100
2007-08,29,ATL,NBA,PG,7,7,252,22,65,.338,7,24,.292,15,41,.366,.392,21,32,.656,3,19,22,22,4,2,13,12,72
2008-09,30,ATL,NBA,PG,11,11,390,49,106,.462,26,48,.542,23,58,.397,.585,21,22,.955,6,31,37,46,10,2,24,34,145
2009-10,31,ATL,NBA,PG,11,11,292,36,80,.450,14,34,.412,22,46,.478,.538,7,10,.700,5,23,28,28,9,0,12,26,93
2010-11,32,MIA,NBA,PG,20,20,415,27,96,.281,17,66,.258,10,30,.333,.370,2,4,.500,5,31,36,23,11,6,17,30,73
2011-12,33,NYK,NBA,PG,5,1,118,9,23,.391,7,17,.412,2,6,.333,.543,2,3,.667,3,18,21,13,1,0,4,7,27
