Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,21,PHO,NBA,PG,70,1500,.447,13.4,.553,.381,.055,.040,.077,.447,.488,.626,.115,.158,.250,.395,.394,.004,2,.855,.248,.365,0,0
2004-05,22,PHO,NBA,PG,63,1087,.475,13.5,.607,.364,.071,.068,.105,.393,.544,.667,.360,.292,.405,.367,.410,.003,1,.667,.209,.345,2,0
2005-06,23,PHO,NBA,SG,57,1592,.481,12.0,.654,.427,.069,.065,.093,.346,.501,.574,.282,.324,.453,.444,.409,.002,0,.793,.316,.371,2,0
2006-07,24,PHO,NBA,SG,80,2613,.476,14.4,.606,.325,.059,.065,.157,.394,.504,.604,.258,.458,.408,.434,.478,.000,0,.879,.326,.510,6,0
2007-08,25,PHO,NBA,SG,82,2421,.462,14.5,.587,.312,.072,.062,.140,.413,.514,.621,.392,.381,.399,.389,.474,.001,1,.939,.308,.508,2,0
2008-09,26,PHO,NBA,SG,70,1705,.482,13.0,.684,.337,.096,.092,.158,.316,.532,.660,.342,.286,.517,.375,.449,.000,0,.900,.358,.407,3,0
2009-10,27,PHO,NBA,PG,44,786,.425,14.0,.627,.323,.082,.058,.164,.373,.485,.610,.367,.286,.367,.324,.514,.000,0,.750,.434,.390,1,0
2010-11,28,TOR,NBA,SG,58,1395,.450,13.0,.674,.381,.103,.031,.159,.326,.505,.627,.313,.450,.346,.338,.369,.002,1,.861,.394,.333,2,0
2011-12,29,TOT,NBA,SG,64,1382,.425,13.6,.733,.273,.155,.082,.223,.267,.441,.609,.384,.442,.275,.382,.529,.000,0,.877,.335,.351,1,0
2011-12,29,TOR,NBA,SG,42,946,.436,13.4,.756,.278,.159,.081,.238,.244,.461,.603,.431,.486,.306,.360,.557,.000,0,.850,.360,.300,1,0
2011-12,29,IND,NBA,SG,22,436,.399,14.0,.678,.262,.148,.082,.186,.322,.387,.625,.259,.333,.176,.424,.438,.000,0,.920,.288,.471,0,0
2012-13,30,BOS,NBA,PG,41,513,.430,10.7,.756,.409,.181,.067,.098,.244,.445,.570,.343,.308,.211,.383,.369,.000,0,.889,.340,.313,2,0
2013-14,31,PHO,NBA,PG,20,368,.427,9.9,.809,.427,.183,.076,.122,.191,.462,.625,.250,.500,.188,.280,.347,.000,0,.857,.200,.000,0,0
2014-15,32,GSW,NBA,SG,66,982,.474,12.2,.710,.368,.137,.088,.114,.290,.511,.655,.377,.294,.386,.384,.643,.000,0,.884,.259,.483,1,0
2015-16,33,GSW,NBA,SG,68,1079,.462,11.8,.703,.368,.127,.073,.132,.297,.508,.632,.255,.296,.531,.355,.682,.003,1,.974,.309,.500,1,0
2016-17,34,PHO,NBA,SG,45,580,.461,12.8,.776,.336,.095,.099,.246,.224,.467,.564,.273,.391,.439,.442,.250,.000,0,.870,.346,.556,0,0
