Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,24,CHI,NBA,C,57,1434,,,,1%,99%,-8.8,+2.4,21,25,27,81,,9,,227,104,21,51
2001-02,25,TOT,NBA,C,76,2263,,,,9%,91%,-4.4,+0.4,52,39,24,0,,0,,322,0,47,117
2001-02,25,CHI,NBA,C,48,1391,,,,15%,85%,-8.6,+1.5,33,29,12,82,,7,,214,106,27,72
2001-02,25,IND,NBA,C,28,872,,,,,100%,+2.2,+2.7,19,10,12,42,,7,,108,55,20,45
2002-03,26,IND,NBA,C,73,2270,,,,,100%,+6.1,+5.9,66,29,23,96,,11,,412,144,35,97
2003-04,27,SAC,NBA,PF,72,2621,,,,53%,47%,+9.8,+12.9,84,36,24,128,,11,,695,131,45,75
2004-05,28,SAC,NBA,C,56,2089,,,,5%,95%,+4.8,+5.1,41,22,19,101,,12,,485,120,37,50
2005-06,29,SAC,NBA,C,79,2923,,,,,100%,+3.9,+8.5,107,45,28,137,,13,,854,141,35,61
2006-07,30,SAC,NBA,C,63,1783,,,,,100%,+1.8,+6.7,65,22,21,86,,11,,490,62,10,25
2007-08,31,SAC,NBA,C,72,2513,,,,4%,96%,+1.5,+10.3,100,33,31,133,,18,,582,126,25,60
2008-09,32,TOT,NBA,C,70,2100,,,4%,30%,66%,-4.1,+0.9,75,28,27,0,,0,,507,0,30,60
2008-09,32,SAC,NBA,C,43,1354,,,6%,47%,47%,-9.6,-0.3,52,18,13,70,,7,,323,67,13,40
2008-09,32,CHI,NBA,C,27,746,,,,1%,99%,+5.9,+7.5,23,10,14,49,,6,,184,48,17,20
2009-10,33,CHI,NBA,C,82,1950,,,,,100%,-1.6,-0.1,63,18,26,99,,10,,328,89,24,36
2010-11,34,HOU,NBA,C,60,1015,,,,,100%,+0.4,-2.5,31,8,15,61,,9,,322,33,7,21
2011-12,35,MIN,NBA,C,15,146,,,,,100%,-5.7,-3.8,9,2,1,6,,0,,52,5,0,2
