Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Brad Miller,,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1,0.2,,,
Bill Cartwright,88.7,10.1,10.0,9.8,9.7,6.4,5.8,5.0,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0.0,,
Dave Robisch,86.8,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1,,,,
Billy Paultz,86.7,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.3,0.1,0.0,,
Clyde Lovellette,85.7,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,,,,,
Tyson Chandler,85.0,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.8,3.4,2.9,1.9,1.8,,
Zydrunas Ilgauskas,84.6,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,,,
Nate Thurmond,84.4,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,,,
Al Jefferson,83.3,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,,,,,
Marcus Camby,82.0,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0
Tom Owens,81.5,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,,,,,
