Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,23,DEN,NBA,C,24,262,,,3%,44%,54%,+6.0,+13.5,6,7,0,24,,0,,15,14,4,6
2002-03,24,DEN,NBA,C,59,907,,,7%,60%,33%,-6.7,+3.6,37,11,12,38,,7,,69,59,9,30
2003-04,25,DEN,NBA,PF,71,1029,,,,87%,13%,+0.5,-0.6,27,11,10,69,,7,,72,39,3,19
2004-05,26,NOH,NBA,C,67,1430,,,2%,29%,68%,-2.1,+9.5,23,17,24,81,,14,,148,85,18,24
2005-06,27,NOK,NBA,C,32,570,,,,30%,70%,+1.2,+5.0,10,5,11,39,,8,,14,45,9,9
2007-08,29,NOH,NBA,C,5,34,,,,,100%,+6.1,0.0,0,0,1,2,,1,,0,3,2,1
2008-09,30,DEN,NBA,C,71,1460,,,,33%,67%,+3.8,+0.3,27,15,27,105,,14,,70,72,11,29
2009-10,31,DEN,NBA,PF,76,1695,,,,55%,45%,+10.7,+11.4,24,17,18,116,,9,,74,92,14,18
2010-11,32,DEN,NBA,C,45,732,,,1%,13%,86%,+6.4,+1.6,9,5,11,53,,3,,45,51,13,17
2011-12,33,DEN,NBA,C,32,486,,,,6%,94%,+5.4,+2.4,3,7,7,31,,3,,13,32,5,9
2012-13,34,MIA,NBA,C,42,624,,,,,100%,+9.0,-0.2,5,8,11,45,,10,0,42,40,15,15
2013-14,35,MIA,NBA,C,72,1396,,,,,100%,+6.6,+1.9,11,13,29,98,2,17,0,44,63,12,24
2014-15,36,MIA,NBA,C,60,1132,,,,35%,65%,-0.4,+3.2,18,12,10,57,1,4,0,89,44,5,21
2015-16,37,TOT,NBA,C,27,402,,,,,100%,-7.6,-5.8,3,3,3,0,0,0,0,28,0,0,6
2015-16,37,MIA,NBA,C,7,36,,,,,100%,-22.1,-24.3,1,0,1,2,0,1,0,7,2,0,1
2015-16,37,MEM,NBA,C,20,366,,,,,100%,-7.6,-5.8,2,3,2,15,1,1,0,21,10,0,5
2016-17,38,CLE,NBA,C,12,114,,,,4%,96%,+4.9,-0.3,1,3,1,13,0,1,0,14,6,0,2
