Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,21,IND,NBA,C,72,21,1052,6.7,17.2,.390,0.1,0.1,1.000,6.7,17.2,.388,5.5,8.6,.637,4.9,10.2,15.1,2.2,1.0,3.7,4.3,7.8,19.0,,91,101
1997-98,22,GSW,NBA,C,82,82,2656,7.0,15.6,.445,0.0,0.0,.000,7.0,15.6,.446,5.3,7.9,.669,5.4,8.8,14.1,1.9,0.8,2.7,3.5,5.6,19.2,,100,104
1998-99,23,GSW,NBA,C,50,50,1414,6.1,15.8,.389,0.0,0.0,,6.1,15.8,.389,4.6,7.8,.588,6.3,8.3,14.6,2.1,1.0,2.2,3.5,6.3,16.9,,93,101
1999-00,24,GSW,NBA,C,21,12,495,7.1,17.6,.405,0.0,0.0,,7.1,17.6,.405,2.7,5.2,.529,4.9,8.7,13.6,1.9,0.8,1.5,2.9,7.6,17.0,,90,108
2000-01,25,GSW,NBA,C,43,26,1038,6.2,15.4,.401,0.0,0.1,.000,6.2,15.3,.404,3.3,6.2,.532,4.8,7.5,12.3,2.9,0.8,2.9,4.0,6.0,15.7,,86,107
2001-02,26,GSW,NBA,C,73,46,1740,6.1,14.0,.435,0.0,0.0,,6.1,14.0,.435,4.0,6.2,.645,4.9,6.4,11.3,2.5,0.5,4.9,4.6,6.9,16.2,,92,108
2002-03,27,GSW,NBA,C,82,82,1978,6.7,13.4,.496,0.0,0.1,.000,6.7,13.4,.498,4.0,5.7,.698,6.4,7.6,14.0,1.5,0.7,4.0,2.9,6.2,17.3,,111,108
2003-04,28,GSW,NBA,C,74,74,2403,7.7,14.5,.535,0.0,0.0,.000,7.7,14.4,.537,4.8,7.4,.654,7.7,12.1,19.7,1.3,0.7,3.0,2.9,5.1,20.3,,114,100
2004-05,29,DAL,NBA,C,59,56,1609,6.5,11.8,.550,0.0,0.1,.000,6.5,11.7,.555,4.4,7.3,.605,5.9,10.2,16.1,1.6,0.5,2.6,3.3,6.6,17.4,,111,103
2005-06,30,DAL,NBA,C,82,36,1934,4.8,9.8,.493,0.0,0.0,,4.8,9.8,.493,3.6,6.1,.591,7.7,10.4,18.1,1.4,0.8,3.0,3.3,7.4,13.3,,108,103
2006-07,31,DAL,NBA,C,76,73,1915,5.9,9.4,.626,0.0,0.0,,5.9,9.4,.626,3.3,5.3,.623,6.1,9.8,15.8,1.2,0.7,2.3,3.0,6.7,15.0,,118,102
2007-08,32,DAL,NBA,C,72,64,1755,5.4,8.4,.643,0.0,0.0,,5.4,8.4,.643,2.5,4.4,.575,6.3,10.1,16.4,1.9,0.7,3.2,2.4,6.9,13.3,,123,103
2008-09,33,DAL,NBA,C,80,80,1836,5.2,8.0,.650,0.0,0.0,,5.2,8.0,.650,2.6,4.0,.638,6.2,10.0,16.1,2.2,0.7,2.7,2.1,5.5,13.0,,129,107
2009-10,34,DAL,NBA,C,55,47,1280,5.4,8.6,.624,0.0,0.1,.333,5.4,8.5,.629,2.5,4.1,.604,5.2,11.0,16.2,1.3,0.6,3.1,2.5,6.2,13.3,,118,104
2010-11,35,MIA,NBA,C,51,22,815,3.4,5.8,.584,0.0,0.1,.000,3.4,5.7,.591,1.6,2.9,.545,3.4,8.0,11.5,1.4,0.9,3.0,2.1,5.3,8.3,,110,102
2011-12,36,ATL,NBA,C,15,0,83,0.6,5.1,.125,0.0,0.0,,0.6,5.1,.125,0.0,0.0,,6.4,9.6,16.0,2.6,0.6,2.6,1.9,5.8,1.3,,80,100
