Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jeff Green,,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.2,,,
Larry Siegfried,89.7,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,,
Taj Gibson,89.1,5.7,5.4,5.2,4.8,4.7,4.5,3.3,,,,
Roy Hinson,88.7,7.4,5.0,4.5,4.5,4.4,2.5,1.8,0.1,,,
Kenny Thomas,87.6,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3
Mike Bantom,87.5,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,
Ruben Patterson,86.7,6.7,5.6,5.5,5.4,3.4,3.2,3.0,2.1,0.2,0.1,
Walter Simon,86.3,6.1,4.8,4.5,4.1,3.4,2.7,2.0,,,,
Jim Pollard,85.6,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,,
Channing Frye,85.4,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8,
Jerome Williams,85.1,7.6,5.4,5.0,4.8,4.5,4.3,3.5,2.6,0.2,,
