Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2005-06,22,HOU,NBA,PF,40,535,,,5%,93%,2%,+9.6,+12.9,2,3,7,33,,2,,33,21,5,16
2006-07,23,HOU,NBA,PF,78,1714,,3%,17%,79%,1%,+11.6,+10.4,20,7,37,154,,11,,119,37,10,36
2007-08,24,HOU,NBA,PF,79,1575,,2%,6%,89%,2%,+8.4,+4.8,30,17,15,149,,4,,211,13,6,17
2008-09,25,HOU,NBA,C,71,858,,2%,2%,21%,74%,-1.3,-7.3,13,8,4,83,,3,,98,10,3,21
2009-10,26,HOU,NBA,C,82,1773,,,1%,8%,91%,+1.2,+3.1,32,20,22,139,,8,,317,33,8,54
2010-11,27,HOU,NBA,C,74,2079,,,1%,14%,85%,+5.9,+7.8,40,25,21,130,,5,,439,68,14,72
2011-12,28,SAC,NBA,C,54,1039,,,9%,46%,45%,-7.3,-1.8,36,10,4,71,,0,,163,20,5,22
2012-13,29,SAC,NBA,C,74,1209,,,10%,28%,62%,-1.3,+5.8,24,12,8,69,,0,0,252,20,4,25
2013-14,30,TOT,NBA,C,61,754,,,3%,45%,52%,+5.5,+5.8,12,9,12,0,0,0,0,83,0,5,16
2013-14,30,SAC,NBA,C,16,179,,,1%,7%,93%,+1.4,+4.8,5,1,1,10,0,1,0,14,3,1,7
2013-14,30,TOR,NBA,C,45,575,,,3%,57%,40%,+6.9,+3.7,7,8,11,45,4,6,1,69,9,4,9
2014-15,31,TOR,NBA,C,29,255,,,,6%,94%,+10.0,+7.1,3,3,2,21,6,1,0,47,5,1,7
2015-16,32,HOU,NBA,C,2,24,,,,,100%,-9.6,-9.7,1,1,1,2,1,1,0,4,0,0,0
