Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2005-06,22,HOU,NBA,PF,40,0,535,6.0,10.7,.562,0.0,0.1,.000,6.0,10.6,.567,3.0,4.6,.644,6.8,11.4,18.2,1.4,2.6,1.4,1.2,7.7,15.0,,127,98
2006-07,23,HOU,NBA,PF,78,43,1714,5.9,10.3,.573,0.0,0.0,,5.9,10.3,.573,1.7,2.7,.618,6.3,9.8,16.1,1.5,2.2,0.6,2.0,8.7,13.6,,119,98
2007-08,24,HOU,NBA,PF,79,44,1575,3.8,7.5,.511,0.0,0.1,.000,3.8,7.4,.518,0.4,0.8,.458,4.5,9.9,14.4,3.1,2.9,1.5,2.1,7.2,8.0,,107,97
2008-09,25,HOU,NBA,C,71,1,858,2.6,7.0,.372,0.0,0.2,.000,2.6,6.8,.385,0.4,1.2,.368,4.6,10.9,15.5,2.6,2.1,1.2,1.6,8.3,5.6,,98,100
2009-10,26,HOU,NBA,C,82,82,1773,4.6,9.5,.489,0.0,0.0,,4.6,9.5,.489,1.0,1.9,.545,4.3,9.0,13.4,4.0,2.1,1.2,2.1,6.3,10.3,,108,105
2010-11,27,HOU,NBA,C,74,63,2079,6.0,11.3,.527,0.0,0.0,.000,6.0,11.3,.529,2.3,3.5,.662,5.4,9.3,14.7,5.0,1.9,1.2,2.1,4.9,14.3,,120,106
2011-12,28,SAC,NBA,C,54,9,1039,3.6,8.3,.429,0.0,0.1,.000,3.6,8.2,.435,1.3,1.9,.667,3.5,7.9,11.4,3.8,1.8,0.8,2.4,5.4,8.4,,98,109
2012-13,29,SAC,NBA,C,74,1,1209,3.6,8.1,.442,0.0,0.0,.000,3.6,8.0,.444,1.3,2.0,.625,4.8,7.9,12.7,4.7,1.3,0.8,1.9,4.8,8.4,,111,111
2013-14,30,TOT,NBA,C,61,1,754,3.9,9.0,.431,0.0,0.1,.000,3.9,8.9,.434,1.4,1.7,.800,4.8,9.7,14.5,2.4,2.3,0.8,2.3,6.5,9.1,,102,103
2013-14,30,SAC,NBA,C,16,1,179,4.0,9.1,.438,0.0,0.0,,4.0,9.1,.438,1.4,2.0,.714,5.7,7.7,13.4,1.7,3.1,0.6,2.0,5.1,9.4,,105,105
2013-14,30,TOR,NBA,C,45,0,575,3.8,8.9,.429,0.0,0.1,.000,3.8,8.8,.433,1.4,1.6,.833,4.5,10.4,14.8,2.6,2.1,0.9,2.4,7.0,9.0,,101,102
2014-15,31,TOR,NBA,C,29,0,255,4.5,9.3,.478,0.0,0.0,,4.5,9.3,.478,1.2,2.2,.545,3.6,6.7,10.3,4.1,2.0,0.8,1.6,7.5,10.1,,111,107
2015-16,32,HOU,NBA,C,2,0,24,2.0,4.1,.500,0.0,0.0,,2.0,4.1,.500,4.1,4.1,1.000,0.0,16.4,16.4,4.1,0.0,0.0,6.1,12.3,8.2,,79,107
