Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Taj Gibson,,5.7,5.4,5.2,4.8,4.7,4.5,3.3,,,,
Jeff Green,89.1,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.2,,,
Jim Pollard,86.8,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,,
Mike Bantom,86.5,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,
Jared Dudley,86.5,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,,
Jim Washington,86.2,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0
Jerome Williams,86.2,7.6,5.4,5.0,4.8,4.5,4.3,3.5,2.6,0.2,,
Larry Siegfried,85.2,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,,
John Block,84.3,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0.0,
Bill Bradley,84.1,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,
Morris Peterson,83.6,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0.0
