Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2003-04,23,DAL,NBA,SF,67,29,1589,7.4,17.2,.430,0.6,2.1,.303,6.8,15.1,.448,3.1,4.5,.703,4.8,7.1,11.9,3.1,2.2,1.7,2.2,5.4,18.6,,107,105
2004-05,24,DAL,NBA,SF,76,76,2446,8.0,16.8,.475,0.7,2.4,.296,7.3,14.4,.506,3.6,4.9,.733,3.6,6.7,10.2,2.3,2.5,1.0,2.6,4.5,20.3,,108,103
2005-06,25,DAL,NBA,SF,59,58,1915,10.0,21.2,.471,0.8,1.8,.429,9.2,19.4,.475,5.6,7.6,.734,3.5,7.1,10.6,3.2,1.9,0.7,2.3,4.8,26.4,,115,105
2006-07,26,DAL,NBA,SF,70,69,2455,10.8,23.5,.459,2.0,5.2,.385,8.8,18.3,.480,5.3,6.4,.827,2.8,7.5,10.4,2.8,1.8,1.2,2.7,3.9,28.8,,112,102
2007-08,27,DAL,NBA,SF,76,76,2757,10.9,24.1,.455,1.3,4.1,.319,9.7,20.0,.482,6.0,7.4,.813,2.3,8.0,10.3,3.2,1.1,0.6,2.2,3.9,29.2,,111,106
2008-09,28,DAL,NBA,SF,52,51,1663,11.1,24.7,.451,1.8,5.3,.345,9.3,19.4,.480,5.4,6.9,.782,1.9,6.4,8.3,2.6,1.7,0.9,2.8,4.3,29.5,,106,109
2009-10,29,TOT,NBA,SF,35,12,918,8.9,22.0,.405,1.3,4.9,.267,7.6,17.1,.444,6.2,7.9,.784,1.7,5.4,7.1,2.7,1.5,0.6,2.6,5.1,25.2,,100,108
2009-10,29,DAL,NBA,SF,31,9,827,8.6,21.5,.401,1.3,4.7,.267,7.3,16.8,.438,5.9,7.5,.790,1.6,5.4,7.0,2.8,1.4,0.6,2.7,4.9,24.3,,99,108
2009-10,29,WAS,NBA,SF,4,3,91,11.5,26.5,.435,1.7,6.3,.273,9.8,20.1,.486,8.6,11.5,.750,2.3,5.2,7.5,2.3,1.7,1.2,1.7,7.5,33.4,,112,109
2010-11,30,WAS,NBA,SF,18,10,409,7.3,20.3,.358,0.9,3.6,.241,6.4,16.6,.383,3.6,5.9,.617,2.3,7.0,9.3,3.0,1.6,0.6,2.5,4.3,19.0,,89,111
2011-12,31,UTA,NBA,SF,43,18,991,7.6,19.1,.399,0.5,2.0,.243,7.2,17.2,.417,4.0,5.1,.773,2.1,6.3,8.4,2.6,1.7,0.5,2.8,4.8,19.7,,95,107
2012-13,32,MIN,NBA,SF,11,4,207,7.7,19.2,.403,1.2,4.0,.313,6.5,15.2,.426,1.7,3.0,.583,2.2,6.7,9.0,1.0,2.5,0.7,2.5,4.5,18.5,,88,104
