Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,20,GSW,NBA,PG,47,1155,96%,4%,,,,-6.4,-0.6,58,17,22,36,,14,,390,60,10,30
2002-03,21,GSW,NBA,PG,82,2866,87%,13%,,,,-1.5,-1.5,147,75,68,96,,42,,1112,174,39,98
2003-04,22,WAS,NBA,PG,55,2066,84%,14%,2%,,,-5.4,+1.3,127,59,40,56,,26,,605,120,22,46
2004-05,23,WAS,NBA,PG,80,3274,88%,11%,1%,,,+1.3,+9.3,112,65,65,96,,43,,903,254,67,80
2005-06,24,WAS,NBA,PG,80,3384,100%,,,,,+2.6,+4.9,138,73,86,113,,48,,1071,326,77,66
2006-07,25,WAS,NBA,PG,74,2942,100%,,,,,+2.5,+13.4,103,64,69,105,,46,,982,292,73,68
2007-08,26,WAS,NBA,PG,13,425,100%,,,,,+0.3,+0.9,26,15,8,9,,4,,147,40,11,10
2008-09,27,WAS,NBA,PG,2,63,100%,,,,,+2.7,+11.1,1,0,0,1,,0,,42,2,0,2
2009-10,28,WAS,NBA,PG,32,1169,82%,18%,,,,-4.1,+2.0,50,41,26,43,,13,,496,96,22,41
2010-11,29,TOT,NBA,PG,70,1796,77%,23%,,,,-0.6,+0.7,106,30,41,0,,0,,632,0,16,29
2010-11,29,WAS,NBA,PG,21,726,88%,12%,,,,-9.0,-1.1,40,12,19,31,,11,,251,28,5,13
2010-11,29,ORL,NBA,PG,49,1070,69%,31%,,,,+5.3,-1.2,66,18,22,55,,11,,381,39,11,16
2011-12,30,MEM,NBA,PG,17,211,92%,8%,,,,+7.1,+5.1,9,2,1,13,,1,,41,4,0,5
