Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2008-09,22,MIA,NBA,PG,82,82,2626,5.7,13.5,.420,2.3,6.3,.367,3.3,7.1,.467,3.0,3.9,.767,0.8,3.9,4.6,8.2,3.3,0.2,3.4,4.9,16.6,,107,107
2009-10,23,MIA,NBA,PG,73,22,1807,5.4,13.5,.401,2.2,7.0,.318,3.2,6.5,.491,2.4,3.3,.745,0.7,3.3,4.0,7.3,2.7,0.4,3.6,5.2,15.4,,100,105
2010-11,24,MIA,NBA,PG,70,28,1579,5.2,13.0,.399,2.8,7.7,.359,2.4,5.3,.459,1.8,2.1,.871,0.4,4.5,4.9,5.9,2.5,0.2,3.0,5.3,14.9,,103,104
2011-12,25,MIA,NBA,PG,64,64,1825,6.4,14.4,.448,2.9,7.5,.388,3.5,6.9,.513,2.3,2.9,.792,0.5,4.5,4.9,6.4,2.8,0.3,4.1,4.8,18.1,,104,101
2012-13,26,MIA,NBA,PG,77,77,2068,5.8,13.5,.429,3.1,7.7,.409,2.7,5.8,.456,2.3,2.9,.795,0.5,3.9,4.4,7.0,3.0,0.3,3.0,5.0,17.1,,110,104
2013-14,27,MIA,NBA,PG,73,73,2178,6.1,13.5,.454,2.1,5.5,.385,4.0,8.1,.500,2.9,3.9,.742,1.0,4.2,5.2,8.6,2.9,0.4,3.9,5.1,17.3,,108,106
2014-15,28,MIA,NBA,PG,80,37,2368,6.0,14.8,.403,1.6,5.5,.294,4.3,9.3,.467,4.6,5.9,.774,0.5,4.1,4.6,6.8,2.7,0.2,3.9,5.6,18.1,,100,107
2015-16,29,TOT,NBA,PG,61,7,1373,6.8,16.6,.410,1.7,5.6,.309,5.1,11.1,.461,8.2,9.8,.832,0.9,5.0,5.9,8.6,3.3,0.5,4.1,6.8,23.5,,110,106
2015-16,29,MIA,NBA,PG,6,0,120,4.3,13.7,.313,0.4,4.7,.091,3.8,9.0,.429,5.1,5.6,.923,0.4,5.6,6.0,8.1,3.4,0.4,3.8,6.8,14.1,,91,102
2015-16,29,MEM,NBA,PG,55,7,1253,7.1,16.9,.417,1.8,5.7,.326,5.2,11.3,.464,8.5,10.2,.827,0.9,4.9,5.9,8.7,3.3,0.5,4.1,6.8,24.4,,111,106
