Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,,,,
Courtney Lee,91.2,4.8,4.7,4.4,3.9,3.3,3.2,3.1,2.7,,,,
Allen Leavell,90.9,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,
Sherman Douglas,89.9,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1
Jim Barnett,87.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
Walt Hazzard,87.2,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,
Austin Carr,86.6,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,
Chucky Atkins,86.1,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,
Greg Anthony,86.1,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,
Jarrett Jack,85.6,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,
Odie Spears,85.3,5.6,5.2,4.7,3.8,3.3,3.1,2.0,,,,,
