Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Danilo Gallinari,,7.2,6.3,6.1,5.6,3.9,3.9,1.0,,,,
Jim Pollard,91.3,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,,
Wil Jones,90.7,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,,
Ersan Ilyasova,89.4,6.7,6.4,5.8,4.4,4.0,3.8,1.6,1.0,,,
Campy Russell,88.4,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,,
Gene Banks,87.8,7.9,6.2,5.6,4.3,3.6,3.5,,,,,
Raef LaFrentz,87.4,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,
Loy Vaught,87.2,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1.0,0.5,0.2,-0.2
Curtis Rowe,87.2,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0.0,,,
Lonnie Shelton,86.2,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,
Trooper Washington,84.8,8.3,6.9,6.3,6.0,3.4,2.2,,,,,
