Player,Sim,1,2,3,4,5,6,7
Danilo Gallinari,,7.2,6.3,6.1,5.6,3.9,3.9,1.0
Thaddeus Young,93.6,7.4,6.3,6.2,5.5,4.5,3.5,2.1
Dave Greenwood,93.1,7.1,6.5,6.5,5.7,3.6,3.4,2.0
Antonio Davis,91.9,7.4,6.1,6.0,5.2,5.0,4.0,2.0
Wayman Tisdale,91.6,7.0,5.9,5.7,5.6,3.4,3.2,1.8
Wil Jones,91.5,7.4,6.9,6.0,5.4,4.0,2.3,0.6
Jim Pollard,91.3,7.2,5.7,5.7,5.4,4.6,4.2,2.1
Brian Grant,90.7,8.7,6.3,5.9,5.3,4.7,3.5,1.0
Loy Vaught,90.7,6.3,6.3,5.5,5.5,4.2,4.1,2.2
Tom Chambers,90.2,7.4,6.4,6.1,5.9,4.8,4.3,3.3
Cliff Levingston,90.1,7.0,6.1,5.5,5.5,5.3,4.7,1.3
