Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2008-09,21,CHA,NBA,PG,72,12,1908,7.6,17.7,.430,3.1,7.0,.439,4.5,10.7,.424,5.9,6.6,.893,0.5,3.3,3.8,7.1,1.2,0.1,3.4,4.0,24.2,,115,110
2009-10,22,CHA,NBA,PG,80,2,1472,6.1,15.7,.386,2.5,6.4,.393,3.5,9.3,.381,3.7,4.7,.779,0.4,3.1,3.5,7.0,1.6,0.2,2.7,4.6,18.3,,106,107
2010-11,23,CHA,NBA,PG,82,82,2757,7.7,18.6,.416,2.2,6.5,.333,5.6,12.1,.461,5.2,5.8,.906,0.7,3.6,4.4,9.7,1.0,0.1,3.0,3.0,22.9,,112,112
2011-12,24,CHA,NBA,PG,48,46,1408,6.8,18.2,.376,2.3,6.7,.341,4.6,11.5,.396,3.9,4.5,.875,0.9,3.2,4.1,11.5,1.3,0.0,4.1,2.4,19.9,,100,114
2012-13,25,IND,NBA,PG,76,5,1226,4.5,12.8,.350,2.9,8.2,.353,1.6,4.5,.346,3.6,4.3,.838,0.9,3.1,4.0,7.4,1.5,0.1,3.0,2.8,15.5,,109,104
2013-14,26,TOT,NBA,PG,71,9,1939,8.2,19.7,.415,3.6,9.1,.401,4.5,10.6,.427,5.5,6.2,.885,0.4,3.2,3.6,8.6,1.5,0.1,3.4,4.0,25.5,,113,105
2013-14,26,TOR,NBA,PG,10,0,82,4.5,15.3,.292,0.6,7.0,.091,3.8,8.3,.462,3.8,3.8,1.000,0.0,2.5,2.5,6.4,0.6,0.0,5.7,4.5,13.4,,75,111
2013-14,26,CHI,NBA,PG,61,9,1857,8.3,19.9,.419,3.8,9.2,.411,4.6,10.7,.426,5.6,6.3,.882,0.4,3.2,3.6,8.7,1.5,0.1,3.3,4.0,26.0,,114,105
2014-15,27,TOT,NBA,PG,82,14,1964,6.7,16.9,.399,2.2,6.4,.337,4.6,10.4,.436,4.6,5.3,.868,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,,107,110
2014-15,27,DET,NBA,PG,54,13,1287,7.6,18.5,.410,2.0,6.0,.327,5.6,12.5,.450,5.9,6.8,.870,0.5,3.5,4.0,10.6,1.3,0.1,4.4,2.5,23.1,,108,110
2014-15,27,OKC,NBA,PG,28,1,677,5.1,13.8,.371,2.5,7.1,.354,2.6,6.7,.389,2.3,2.7,.861,0.5,4.0,4.5,6.5,1.2,0.1,2.6,2.4,15.0,,105,110
2015-16,28,TOT,NBA,PG,62,0,1178,6.3,14.8,.423,2.9,7.1,.405,3.4,7.7,.440,4.4,5.4,.805,0.3,3.7,4.0,8.4,1.6,0.2,3.6,3.6,19.8,,113,111
2015-16,28,OKC,NBA,PG,34,0,519,4.4,11.6,.380,2.3,5.8,.393,2.1,5.7,.367,2.5,3.3,.765,0.5,3.6,4.1,6.3,1.2,0.2,2.9,3.9,13.6,,106,110
2015-16,28,DEN,NBA,PG,28,0,659,7.8,17.4,.445,3.3,8.1,.411,4.4,9.3,.475,5.9,7.2,.819,0.2,3.7,4.0,10.0,1.9,0.2,4.1,3.3,24.7,,116,111
2016-17,29,ORL,NBA,PG,51,20,1041,6.9,17.5,.397,3.4,9.5,.360,3.5,8.0,.440,3.9,4.9,.812,0.3,3.1,3.5,7.6,1.1,0.0,2.9,3.5,21.2,,108,114
