Player,Sim,1,2,3,4,5,6,7,8
D.J. Augustin,,6.2,6.2,5.1,3.4,2.8,2.8,2.6,0.5
Kevin Porter,91.8,6.5,6.2,5.2,4.2,2.7,2.3,1.8,0.5
John Paxson,89.7,6.0,5.7,4.8,4.2,3.3,2.3,2.2,0.6
Austin Carr,87.2,5.9,5.4,5.3,5.0,3.4,2.9,2.6,1.0
Bonzi Wells,86.1,6.0,5.9,4.0,3.4,3.1,3.1,0.9,0.1
Odie Spears,85.8,5.6,5.2,4.7,3.8,3.3,3.1,2.0,
Darren Collison,85.6,5.9,5.6,5.2,4.3,3.8,3.8,2.9,
Walt Hazzard,85.5,5.4,5.3,5.0,4.5,3.3,2.5,2.2,0.2
Greg Anthony,85.3,5.5,4.8,4.6,3.5,2.9,2.8,2.7,2.2
J.J. Redick,85.1,6.5,5.2,4.5,4.5,3.0,2.3,1.7,0.5
Dee Brown,85.0,6.8,6.4,6.4,3.5,3.4,2.4,1.0,0.3
