Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Thabo Sefolosha,,6.8,4.5,4.1,4.0,3.0,2.5,2.2,1.8,1.5,0.8,,,
Travis Best,90.6,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,,,
Guy Rodgers,89.8,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,
Raymond Felton,88.0,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,
Adrian Smith,87.5,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,
Foots Walker,87.5,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,
Rodney Stuckey,87.1,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,,,,
Raja Bell,86.9,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,
Gerald Henderson,86.7,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0
Ricky Sobers,86.5,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,
Bob Weiss,86.4,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,
