Player,Sim,1,2,3,4,5,6,7,8,9
Rodney Stuckey,,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0
Eric Piatkowski,92.4,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.0,1.2
Ricky Sobers,90.5,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1.0
Guy Rodgers,90.2,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1
Tony Allen,89.1,5.1,4.7,4.2,2.7,2.7,1.9,1.9,1.7,1.6
Mike Gale,88.9,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.2,2.0
Derek Fisher,88.0,5.5,5.2,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Chucky Atkins,87.9,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3
John Long,87.5,5.3,4.7,3.6,3.6,3.3,2.4,2.1,2.0,0.2
Matt Guokas,87.3,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5
Allen Leavell,86.8,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6
