Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,20,MIL,NBA,PG,82,2671,.371,14.8,.681,.236,.104,.124,.216,.319,.370,.425,.331,.311,.361,.374,.190,.002,2,.614,.059,.435,1,0
2010-11,21,MIL,NBA,PG,63,2169,.390,14.2,.673,.256,.149,.109,.159,.327,.422,.519,.355,.366,.367,.323,.240,.006,5,.735,.106,.438,3,0
2011-12,22,MIL,NBA,PG,66,2331,.418,14.0,.654,.262,.167,.084,.141,.346,.464,.571,.396,.362,.405,.332,.326,.008,8,.550,.152,.373,4,0
2012-13,23,MIL,NBA,PG,80,2897,.399,15.1,.630,.228,.121,.123,.158,.370,.412,.496,.285,.416,.386,.375,.253,.005,6,.595,.158,.384,3,0
2013-14,24,DET,NBA,PG,80,2728,.373,15.9,.597,.215,.137,.070,.175,.403,.397,.529,.265,.300,.377,.337,.230,.004,4,.448,.125,.316,9,0
2014-15,25,DET,NBA,PG,41,1173,.401,14.6,.611,.280,.118,.087,.127,.389,.428,.520,.313,.340,.391,.360,.261,.006,3,.461,.147,.516,1,0
2015-16,26,TOT,NBA,PG,48,868,.368,17.4,.490,.155,.118,.066,.148,.510,.409,.574,.361,.400,.289,.329,.246,.000,0,.608,.181,.321,3,0
2015-16,26,DET,NBA,PG,23,416,.371,17.2,.462,.189,.140,.028,.098,.538,.439,.593,.400,.250,.286,.312,.345,.000,0,.375,.169,.308,3,0
2015-16,26,ORL,NBA,PG,25,452,.366,17.5,.516,.124,.099,.099,.193,.484,.386,.550,.313,.438,.290,.346,.156,.000,0,.815,.192,.333,0,0
2016-17,27,NYK,NBA,PG,51,1258,.375,16.3,.533,.213,.102,.087,.123,.467,.419,.543,.231,.455,.340,.326,.165,.000,0,.483,.174,.484,2,0
