Player,Sim,1,2,3,4,5,6,7,8,9,10
Jimmy Butler,,11.2,9.1,7.1,7.0,1.1,,,,,
Damian Lillard,85.3,10.6,9.6,9.2,5.8,,,,,,
Brandon Roy,82.6,13.5,9.1,8.0,4.8,2.1,0.0,,,,
Darel Carrier,79.5,8.7,8.0,7.8,4.9,0.9,0.2,,,,
Klay Thompson,78.3,8.8,8.0,6.7,4.3,1.7,,,,,
Micheal Williams,77.2,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
John Logan,76.4,9.2,8.3,5.2,4.3,1.0,,,,,
Reggie Lewis,76.1,9.1,8.3,7.5,6.9,6.7,0.4,,,,
Doug Collins,75.5,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,
Isaiah Thomas,75.0,9.7,7.7,6.1,5.0,4.3,,,,,
Glen Combs,74.5,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,
