Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Darren Collison,,5.9,5.6,5.2,4.3,3.8,3.8,2.9,,,,
Bill Keller,92.6,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,,
Jim Barnett,89.2,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0
Brandon Jennings,89.0,5.8,5.5,4.2,3.9,3.9,3.3,1.5,,,,
Odie Spears,87.5,5.6,5.2,4.7,3.8,3.3,3.1,2.0,,,,
D.J. Augustin,85.6,6.2,6.2,5.1,3.4,2.8,2.8,2.6,0.5,,,
Mario Chalmers,85.0,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,,,
Dave Twardzik,84.9,7.5,5.5,5.1,5.1,3.7,3.0,2.4,1.1,,,
Bonzi Wells,84.8,6.0,5.9,4.0,3.4,3.1,3.1,3.0,0.9,0.1,-0.1,
Paul Neumann,84.7,6.5,5.8,4.6,4.2,4.0,3.2,,,,,
Austin Carr,84.7,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,
