Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Peja Stojakovic,,13.5,10.1,10.1,9.9,8.1,8.0,7.3,4.8,3.8,2.7,1.7,1.6,0.9,,,
Lou Hudson,90.5,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,,,
Kiki Vandeweghe,89.3,11.0,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2.0,1.2,1.1,0.8,,,
Billy Cunningham,88.6,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,,,,
Cliff Hagan,87.9,11.8,11.7,10.8,10.0,8.5,7.1,6.5,6.0,4.7,3.7,3.0,1.3,0.1,,,
Ben Wallace,87.5,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2
Rudy Tomjanovich,86.9,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1.0,,,,,
George McGinnis,86.9,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,,,,,
Glen Rice,86.7,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1,
Chris Webber,86.7,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,3.4,1.9,1.1,0.1,
James Worthy,86.3,10.6,9.7,9.5,9.3,9.0,7.9,7.5,6.5,5.1,3.1,3.0,0.1,,,,
