Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,22,IND,NBA,C,81,2641,,,,34%,66%,+0.7,+2.1,30,50,81,150,,41,,223,167,38,93
2001-02,23,IND,NBA,PF,72,2707,,,1%,61%,38%,+1.4,+4.3,38,54,82,146,,48,,255,180,37,127
2002-03,24,IND,NBA,PF,77,2864,,,,68%,32%,+3.0,-2.1,41,53,86,125,,44,,331,219,50,138
2003-04,25,IND,NBA,PF,78,2788,,,,64%,36%,+8.7,+6.8,46,59,76,134,,47,,372,185,40,184
2004-05,26,IND,NBA,PF,44,1530,,,,70%,30%,+0.5,-0.6,26,42,63,96,,34,,191,173,35,101
2005-06,27,IND,NBA,PF,51,1802,,,,45%,55%,+2.4,+1.1,47,40,64,96,,31,,306,172,46,62
2006-07,28,IND,NBA,C,69,2459,,,,41%,59%,-0.7,+6.1,41,58,104,148,,31,,381,197,46,100
2007-08,29,IND,NBA,C,42,1206,,,,36%,64%,-2.0,-0.7,30,35,41,77,,19,,218,79,13,38
2008-09,30,TOT,NBA,C,68,2027,,,,4%,96%,-3.4,-2.6,32,37,75,0,,0,,282,0,30,84
2008-09,30,TOR,NBA,C,41,1216,,,,6%,94%,-6.1,-4.5,23,22,47,89,,20,,159,71,22,50
2008-09,30,MIA,NBA,C,27,811,,,,1%,99%,+0.8,+0.8,9,15,28,49,,12,,123,40,8,34
2009-10,31,MIA,NBA,C,70,1991,,,,1%,99%,+4.9,+4.1,26,39,60,127,,27,,211,113,28,66
2010-11,32,BOS,NBA,C,24,431,,,,45%,55%,+2.6,-3.8,0,5,22,35,,8,,25,23,8,15
2011-12,33,BOS,NBA,C,25,570,,,,,100%,+1.9,-1.2,3,7,11,42,,9,,22,15,3,12
2012-13,34,PHO,NBA,C,55,1029,,,,5%,95%,-6.7,+0.4,18,28,27,62,,14,1,95,58,12,43
2013-14,35,GSW,NBA,PF,44,883,,,,18%,82%,+1.8,-4.2,12,13,26,50,4,15,0,59,58,13,25
