Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1999-00,23,IND,NBA,C,19,86,25.6,.632,.043,1.087,16.3,25.1,20.9,9.4,3.0,0.8,5.6,19.0,,0.5,0.2,0.6,.345,,4.7,0.9,5.6,0.2
2000-01,24,IND,NBA,C,71,1152,12.5,.492,.033,.427,14.6,23.4,19.1,4.6,1.8,1.7,17.0,12.4,,0.8,1.9,2.7,.113,,-2.5,1.1,-1.4,0.2
2001-02,25,IND,NBA,C,82,1786,12.9,.493,.038,.462,13.3,21.6,17.6,6.1,2.1,1.5,14.3,14.0,,1.5,2.7,4.2,.113,,-1.5,1.7,0.2,1.0
2002-03,26,IND,NBA,C,77,802,12.0,.394,.011,.354,16.9,22.0,19.5,9.8,1.8,1.9,14.2,13.5,,0.2,1.4,1.6,.098,,-2.5,2.0,-0.5,0.3
2003-04,27,IND,NBA,C,82,1961,16.2,.578,.011,.425,14.8,22.0,18.4,5.5,2.0,1.1,12.3,11.8,,4.4,3.8,8.3,.202,,0.7,2.4,3.1,2.5
2004-05,28,IND,NBA,C,61,1594,15.4,.551,.015,.438,15.6,25.4,20.6,4.8,1.6,0.6,12.5,13.3,,2.9,2.5,5.4,.162,,-0.4,0.9,0.6,1.0
2005-06,29,IND,NBA,C,63,1581,15.1,.581,.016,.636,16.9,24.8,20.9,5.1,1.4,1.2,16.7,11.3,,2.8,2.9,5.7,.174,,-0.3,2.3,2.0,1.6
2006-07,30,IND,NBA,C,75,1740,13.0,.513,.004,.469,16.5,24.1,20.2,5.0,1.9,1.6,18.2,9.9,,1.8,2.7,4.5,.124,,-1.4,2.3,0.9,1.3
2007-08,31,IND,NBA,C,77,1884,15.7,.568,.008,.389,14.9,23.8,19.3,10.1,1.5,1.3,12.4,11.5,,4.0,2.4,6.5,.165,,0.3,2.2,2.5,2.1
2008-09,32,IND,NBA,C,74,1828,13.0,.542,.020,.414,12.8,17.8,15.3,9.9,1.4,2.0,17.4,12.0,,2.3,1.9,4.2,.111,,-0.5,2.1,1.6,1.7
2009-10,33,IND,NBA,C,16,255,9.6,.490,.022,.196,14.4,20.3,17.3,12.1,0.6,1.1,21.9,11.1,,0.2,0.3,0.4,.085,,-2.6,1.3,-1.3,0.0
2010-11,34,IND,NBA,C,56,940,14.3,.497,.018,.287,19.1,22.3,20.7,7.3,1.3,2.4,12.1,10.1,,1.6,1.4,3.0,.152,,-0.2,2.3,2.1,1.0
2011-12,35,IND,NBA,C,11,141,11.1,.569,.056,.500,14.5,19.0,16.7,4.2,3.0,0.6,24.2,9.3,,0.2,0.2,0.4,.134,,-0.6,1.7,1.1,0.1
