Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,IND,NBA,C,19,0,86,5.4,9.6,.565,0.0,0.4,.000,5.4,9.2,.591,7.1,10.5,.680,5.0,8.4,13.4,2.1,2.1,0.4,0.8,7.5,18.0
2000-01,24,IND,NBA,C,71,9,1152,3.1,6.7,.469,0.1,0.2,.286,3.1,6.4,.476,1.5,2.8,.516,4.5,7.7,12.2,1.0,1.2,0.9,1.6,4.7,7.8
2001-02,25,IND,NBA,C,82,48,1786,3.6,7.9,.449,0.0,0.3,.133,3.5,7.6,.462,2.2,3.7,.610,4.2,7.1,11.2,1.4,1.4,0.8,1.6,4.7,9.4
2002-03,26,IND,NBA,C,77,2,802,2.9,8.0,.360,0.0,0.1,.000,2.9,7.9,.364,1.5,2.8,.540,5.3,7.2,12.5,2.3,1.3,0.9,1.5,4.6,7.3
2003-04,27,IND,NBA,C,82,79,1961,3.6,6.6,.544,0.0,0.1,.000,3.6,6.6,.550,1.9,2.8,.669,4.6,6.6,11.2,1.2,1.3,0.5,1.1,3.5,9.1
2004-05,28,IND,NBA,C,61,43,1594,3.8,7.3,.519,0.0,0.1,.000,3.8,7.2,.527,2.0,3.2,.634,4.6,7.8,12.4,1.0,1.0,0.3,1.2,4.2,9.6
2005-06,29,IND,NBA,C,63,37,1581,3.1,5.7,.552,0.0,0.1,.000,3.1,5.6,.561,2.2,3.6,.604,5.1,8.0,13.1,1.1,0.9,0.6,1.5,4.3,8.5
2006-07,30,IND,NBA,C,75,43,1740,2.5,5.4,.469,0.0,0.0,.000,2.5,5.4,.471,1.6,2.5,.639,5.2,7.4,12.6,1.2,1.3,0.8,1.4,4.2,6.7
2007-08,31,IND,NBA,C,77,52,1884,3.9,7.1,.550,0.0,0.1,.000,3.9,7.1,.554,1.6,2.8,.593,5.0,7.7,12.8,2.5,1.1,0.6,1.2,4.2,9.5
2008-09,32,IND,NBA,C,74,26,1828,3.5,7.0,.501,0.0,0.1,.286,3.4,6.8,.506,1.9,2.9,.658,4.2,5.8,10.0,2.6,1.0,1.0,1.7,4.5,8.9
2009-10,33,IND,NBA,C,16,3,255,3.1,6.5,.478,0.0,0.1,.000,3.1,6.4,.489,0.7,1.3,.556,4.8,6.6,11.4,3.0,0.4,0.6,2.0,6.4,6.9
2010-11,34,IND,NBA,C,56,3,940,3.1,6.4,.479,0.0,0.1,.000,3.1,6.3,.488,1.0,1.8,.563,6.1,7.3,13.4,1.8,0.9,1.2,1.0,4.9,7.2
2011-12,35,IND,NBA,C,11,0,141,2.3,4.6,.500,0.3,0.3,1.000,2.0,4.3,.471,1.5,2.3,.667,4.6,6.1,10.7,1.0,2.0,0.3,1.8,6.6,6.4
