Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1999-00,23,IND,NBA,C,19,0,86,7.8,13.8,.565,0.0,0.6,.000,7.8,13.2,.591,10.2,15.0,.680,7.2,12.0,19.2,3.0,3.0,0.6,1.2,10.8,25.8,,138,97
2000-01,24,IND,NBA,C,71,9,1152,4.7,9.9,.469,0.1,0.3,.286,4.6,9.6,.476,2.2,4.2,.516,6.7,11.4,18.1,1.5,1.8,1.3,2.4,7.1,11.6,,103,98
2001-02,25,IND,NBA,C,82,48,1786,5.2,11.5,.449,0.1,0.4,.133,5.1,11.1,.462,3.2,5.3,.610,6.0,10.2,16.3,2.0,2.1,1.1,2.3,6.8,13.7,,105,101
2002-03,26,IND,NBA,C,77,2,802,4.2,11.6,.360,0.0,0.1,.000,4.2,11.5,.364,2.2,4.1,.540,7.7,10.5,18.2,3.3,1.8,1.4,2.2,6.7,10.6,,99,98
2003-04,27,IND,NBA,C,82,79,1961,5.5,10.1,.544,0.0,0.1,.000,5.5,10.0,.550,2.9,4.3,.669,6.9,10.1,17.1,1.8,2.0,0.8,1.7,5.3,13.9,,122,96
2004-05,28,IND,NBA,C,61,43,1594,5.8,11.2,.519,0.0,0.2,.000,5.8,11.0,.527,3.1,4.9,.634,7.1,11.9,19.0,1.5,1.6,0.4,1.9,6.4,14.7,,118,102
2005-06,29,IND,NBA,C,63,37,1581,4.7,8.5,.552,0.0,0.1,.000,4.7,8.3,.561,3.3,5.4,.604,7.6,11.9,19.4,1.7,1.4,0.9,2.2,6.5,12.6,,120,100
2006-07,30,IND,NBA,C,75,43,1740,3.6,7.8,.469,0.0,0.0,.000,3.6,7.7,.471,2.3,3.6,.639,7.5,10.6,18.2,1.7,1.9,1.1,2.1,6.0,9.6,,113,102
2007-08,31,IND,NBA,C,77,52,1884,5.3,9.7,.550,0.0,0.1,.000,5.3,9.7,.554,2.2,3.8,.593,6.9,10.5,17.4,3.4,1.5,0.8,1.6,5.8,12.9,,126,105
2008-09,32,IND,NBA,C,74,26,1828,4.8,9.6,.501,0.1,0.2,.286,4.8,9.4,.506,2.6,4.0,.658,5.9,8.0,13.8,3.5,1.4,1.3,2.4,6.2,12.3,,115,108
2009-10,33,IND,NBA,C,16,3,255,4.3,8.9,.478,0.0,0.2,.000,4.3,8.7,.489,1.0,1.7,.556,6.6,9.1,15.7,4.1,0.6,0.8,2.7,8.7,9.5,,107,107
2010-11,34,IND,NBA,C,56,3,940,4.3,9.0,.479,0.0,0.2,.000,4.3,8.8,.488,1.5,2.6,.563,8.6,10.2,18.9,2.5,1.3,1.7,1.4,6.8,10.1,,122,104
2011-12,35,IND,NBA,C,11,0,141,3.4,6.8,.500,0.4,0.4,1.000,3.0,6.4,.471,2.3,3.4,.667,6.8,9.0,15.8,1.5,3.0,0.4,2.6,9.8,9.4,,112,99
