Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,28,NYK,NBA,PF,77,2125,,,,60%,40%,+7.5,+9.3,20,26,53,125,,29,,141,94,19,49
2001-02,29,NYK,NBA,C,82,2771,,,,32%,68%,-5.4,-4.1,53,48,52,168,,34,,195,117,23,62
2002-03,30,NYK,NBA,C,81,2577,,,2%,12%,86%,-0.5,+3.3,58,26,54,174,,39,,381,73,16,47
2003-04,31,NYK,NBA,PF,80,2548,,,2%,92%,7%,-0.9,+1.9,60,29,43,146,,35,,341,49,5,40
2004-05,32,NYK,NBA,PF,80,2855,,,8%,84%,8%,-3.0,-0.6,56,20,23,191,,17,,375,25,8,36
2005-06,33,PHO,NBA,C,53,1411,,,,1%,99%,+9.1,+4.7,27,10,20,94,,18,,137,41,9,21
2006-07,34,PHO,NBA,C,67,1208,,,,32%,68%,+11.0,+4.5,12,3,20,94,,9,,60,31,8,18
2007-08,35,TOT,NBA,C-PF,70,1584,,,6%,38%,56%,-2.0,+0.1,17,9,20,0,,0,,152,0,9,22
2007-08,35,SEA,NBA,C,42,1060,,,9%,16%,74%,-4.7,+6.0,13,5,10,77,,6,,121,22,5,9
2007-08,35,SAS,NBA,PF,28,524,,,,81%,18%,+3.7,-2.0,4,4,10,28,,6,,31,9,4,13
2008-09,36,SAS,NBA,PF,79,1404,,,,77%,23%,+4.6,+0.9,17,9,16,88,,11,,154,18,3,16
2009-10,37,MIL,NBA,C,70,1049,,,,9%,90%,-4.1,-8.2,17,6,25,91,,18,,112,4,1,16
2010-11,38,CHI,NBA,PF,52,1178,,,,68%,32%,+7.6,-0.8,20,3,19,85,,13,,135,10,3,8
2011-12,39,POR,NBA,C,53,803,,,,7%,93%,-0.7,+0.6,13,1,17,68,,13,,107,7,0,13
2012-13,40,NYK,NBA,PF,39,392,,,14%,78%,8%,-4.1,-9.6,2,2,4,25,,4,0,51,7,1,2
