Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,1110,650,24.5,3.5,7.1,.486,0.0,0.0,.281,3.4,7.1,.487,.487,1.2,1.5,.760,1.7,4.9,6.6,1.1,0.7,0.8,1.1,3.2,8.1
8 seasons,,NYK,NBA,,569,429,28.9,4.5,9.3,.486,0.0,0.0,.333,4.5,9.3,.487,.487,1.5,2.0,.777,2.0,5.6,7.5,1.4,0.8,0.8,1.4,3.6,10.6
2 seasons,,PHO,NBA,,120,63,21.8,2.6,5.4,.486,0.0,0.0,.000,2.6,5.4,.487,.486,1.1,1.4,.804,1.6,5.1,6.6,0.7,0.4,0.7,0.8,2.9,6.4
2 seasons,,SAS,NBA,,107,19,18.0,2.0,4.0,.487,0.0,0.0,.000,2.0,4.0,.491,.487,0.5,0.6,.739,1.6,3.5,5.1,0.7,0.5,0.7,0.6,2.1,4.4
2 seasons,,MIA,NBA,,92,51,22.1,3.4,7.1,.480,0.0,0.0,.000,3.4,7.1,.482,.480,1.7,2.4,.683,1.7,4.3,5.9,0.6,0.6,0.5,1.3,3.7,8.5
1 season,,MIL,NBA,,70,9,15.0,1.4,3.0,.476,0.0,0.0,,1.4,3.0,.476,.476,0.2,0.2,.800,1.2,3.0,4.2,0.7,0.4,0.7,0.7,2.3,3.0
1 season,,POR,NBA,,53,3,15.2,1.4,3.0,.465,0.0,0.0,,1.4,3.0,.465,.465,0.3,0.4,.700,0.7,2.8,3.5,0.9,0.5,0.6,0.6,2.3,3.0
1 season,,CHI,NBA,,52,37,22.7,1.8,3.6,.511,0.0,0.0,1.000,1.8,3.6,.508,.513,0.4,0.6,.625,1.4,4.3,5.8,1.2,0.6,0.8,0.8,3.2,4.1
1 season,,SEA,NBA,,42,39,25.2,3.3,6.5,.513,0.0,0.0,,3.3,6.5,.513,.513,0.9,1.3,.696,2.2,6.5,8.8,1.3,0.8,1.0,0.7,3.1,7.5
1 season,,DAL,NBA,,5,0,14.6,3.4,9.0,.378,0.0,0.0,,3.4,9.0,.378,.378,0.6,0.6,1.000,1.6,3.2,4.8,0.6,0.2,0.0,2.0,3.8,7.4
