Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2000-01,23,NJN,NBA,PF,68,2272,13.4,.472,.014,.247,6.7,19.0,12.7,10.4,1.8,3.7,13.8,19.9,,-0.4,2.5,2.1,.044,,-2.6,1.9,-0.7,0.8
2001-02,24,NJN,NBA,PF,73,2504,14.5,.503,.070,.278,5.0,12.4,8.7,13.0,1.9,3.5,13.7,22.4,,0.6,4.2,4.9,.093,,-1.3,2.2,0.9,1.8
2002-03,25,NJN,NBA,PF,77,2628,16.9,.511,.040,.362,7.1,20.7,13.9,13.0,2.0,2.0,13.3,24.8,,1.8,5.3,7.1,.129,,-0.8,2.0,1.2,2.1
2003-04,26,NJN,NBA,PF,65,2252,18.7,.528,.028,.327,7.0,25.3,16.2,13.7,2.3,2.8,14.0,25.0,,1.5,5.1,6.7,.142,,-1.0,2.9,1.9,2.2
2004-05,27,DEN,NBA,PF,70,2272,17.5,.521,.013,.340,7.4,18.4,13.0,13.0,2.3,2.6,12.5,23.4,,1.7,3.6,5.3,.111,,-0.5,2.1,1.6,2.1
2005-06,28,DEN,NBA,PF,56,1546,16.7,.533,.037,.283,7.1,19.4,13.3,8.8,1.4,2.5,9.6,21.6,,1.8,2.0,3.8,.117,,-0.8,0.6,-0.2,0.7
2006-07,29,DEN,NBA,PF,2,63,5.4,.446,.063,.750,10.9,24.7,17.9,2.4,0.0,0.0,19.0,17.9,,-0.1,0.1,0.0,-0.036,,-7.0,-3.3,-10.2,-0.1
2007-08,30,DEN,NBA,PF,71,2159,14.7,.553,.016,.303,5.4,17.5,11.6,6.3,2.0,2.8,10.3,17.4,,2.0,3.0,5.0,.111,,-1.5,1.6,0.1,1.1
2008-09,31,DEN,NBA,PF,66,2111,13.6,.523,.059,.304,4.6,16.8,10.9,10.0,2.3,2.7,12.4,17.7,,0.9,3.1,4.0,.090,,-1.6,2.5,0.9,1.6
2009-10,32,DEN,NBA,PF,58,1986,13.4,.481,.047,.269,8.3,23.3,15.8,8.5,1.8,2.3,11.6,17.5,,0.4,2.8,3.3,.079,,-2.0,2.2,0.2,1.1
2010-11,33,DEN,NBA,PF,48,1233,14.1,.526,.025,.199,6.5,20.9,13.9,13.6,1.8,2.2,13.0,16.4,,1.0,1.6,2.7,.104,,-0.9,2.7,1.8,1.2
2011-12,34,LAC,NBA,PF,42,940,9.9,.445,.059,.245,6.1,16.9,11.5,2.9,2.5,3.8,11.6,13.5,,-0.3,1.2,0.9,.048,,-4.0,2.5,-1.5,0.1
2012-13,35,NYK,NBA,C,18,431,13.9,.583,.000,.430,8.9,17.1,12.9,2.9,2.0,3.4,12.6,13.7,,0.6,0.6,1.2,.128,,-1.2,1.8,0.5,0.3
2013-14,36,NYK,NBA,PF,32,633,12.2,.521,.008,.154,6.5,18.7,12.5,11.9,2.1,3.8,16.5,11.6,,0.5,0.7,1.2,.090,,-2.0,3.1,1.1,0.5
2014-15,37,MIL,NBA,PF,11,104,10.0,.437,.000,.091,6.7,14.2,10.5,7.0,2.5,4.9,11.6,11.2,,0.0,0.2,0.2,.086,,-4.4,3.6,-0.8,0.0
