Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,24,NJN,NBA,PF,20,749,,,1%,78%,22%,1.0,6.3,21,18,13,35,,10,0,121,44,12,28
2002-03,25,NJN,NBA,PF,20,777,,,1%,81%,18%,5.7,9.2,19,15,24,29,,20,0,125,51,14,29
2003-04,26,NJN,NBA,PF,11,409,,,1%,72%,27%,4.6,9.4,12,7,13,15,,9,0,25,33,10,16
2004-05,27,DEN,NBA,PF,5,164,,,,95%,5%,-6.1,13.8,5,1,1,9,,1,0,12,7,3,5
2005-06,28,DEN,NBA,PF,2,35,,,,68%,32%,-6.4,2.8,1,0,2,5,,0,0,2,1,0,3
2007-08,30,DEN,NBA,PF,4,118,,,,81%,19%,-13.1,1.1,2,2,5,11,,5,0,10,4,0,1
2008-09,31,DEN,NBA,PF,16,538,,,,95%,5%,6.4,-10.4,7,13,6,29,,3,0,74,18,3,10
2009-10,32,DEN,NBA,PF,6,205,,,,92%,8%,-6.0,-14.9,3,4,4,16,,2,0,18,10,1,1
2010-11,33,DEN,NBA,PF,5,148,,,27%,73%,,-8.1,-6.7,5,2,0,10,0,0,0,16,7,0,5
2011-12,34,LAC,NBA,PF,11,193,,,,43%,57%,0.1,7.8,1,0,3,23,0,3,0,7,2,0,3
2012-13,35,NYK,NBA,C,12,253,,,6%,25%,69%,0.0,-5.8,1,3,4,18,0,3,1,24,10,2,1
