Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,IND,NBA,SF,6,0,26,2.8,12.5,.222,1.4,5.5,.250,1.4,6.9,.200,2.8,2.8,1.000,0.0,2.8,2.8,0.0,1.4,0.0,0.0,1.4,9.7
2004-05,24,IND,NBA,SF,75,24,1330,3.4,8.6,.396,1.8,4.5,.398,1.6,4.1,.395,1.4,1.7,.855,1.1,3.7,4.7,1.5,0.8,0.8,1.2,3.3,10.0
2005-06,25,PHO,NBA,SF,75,24,1772,4.9,11.8,.418,2.2,5.8,.386,2.7,6.0,.449,2.1,2.5,.851,0.9,4.2,5.1,1.2,0.8,1.0,0.7,2.9,14.2
2006-07,26,PHO,NBA,SF,76,7,1376,4.2,11.5,.368,2.4,6.2,.378,1.9,5.3,.356,1.9,2.1,.877,0.9,3.7,4.6,1.2,0.7,1.1,0.7,3.0,12.7
2007-08,27,POR,NBA,SF,58,3,1276,4.0,9.2,.437,2.6,5.8,.444,1.5,3.4,.426,2.4,2.8,.878,1.2,3.3,4.5,1.0,0.7,0.4,0.8,2.7,13.1
2008-09,28,MIA,NBA,SF,40,1,630,3.1,8.5,.369,1.9,5.5,.344,1.3,3.0,.415,1.5,1.8,.839,0.7,2.9,3.5,1.1,0.7,0.8,0.7,3.3,9.7
2009-10,29,MIA,NBA,SF,36,6,503,3.1,8.5,.361,2.6,6.4,.411,0.4,2.1,.207,1.6,2.0,.821,0.3,2.9,3.2,1.2,0.8,0.3,0.8,3.2,10.4
2010-11,30,MIA,NBA,SF,81,8,1549,3.4,8.0,.422,2.9,6.7,.429,0.5,1.4,.390,1.4,1.7,.833,0.5,3.2,3.7,1.0,0.7,0.4,0.5,3.0,11.0
2011-12,31,MIA,NBA,SG,51,10,666,3.1,8.1,.380,2.5,6.2,.404,0.6,1.9,.306,1.4,1.6,.833,0.3,2.3,2.6,1.0,0.9,0.5,0.5,2.4,10.0
2012-13,32,MIA,NBA,SF,38,0,221,3.4,9.9,.344,2.6,8.6,.302,0.8,1.3,.625,0.3,0.7,.500,0.0,3.6,3.6,2.1,0.3,1.0,0.5,2.6,9.8
2013-14,33,MIA,NBA,SF,20,6,236,4.7,10.4,.456,4.3,8.2,.519,0.5,2.1,.214,1.1,1.7,.636,0.3,3.2,3.5,1.4,0.5,0.6,0.6,0.9,14.8
2014-15,34,CLE,NBA,SF,57,2,669,4.0,10.8,.368,3.4,9.4,.360,0.6,1.4,.423,2.1,2.5,.848,0.5,2.9,3.3,1.3,0.7,0.4,0.7,3.6,13.5
2015-16,35,CLE,NBA,SF,48,0,463,4.5,11.0,.408,3.2,8.1,.394,1.3,3.0,.447,1.6,2.0,.808,0.6,3.3,3.9,1.1,0.9,0.8,1.0,3.9,13.8
2016-17,36,CLE,NBA,SF,30,1,224,4.5,8.7,.519,3.5,6.3,.564,1.0,2.4,.400,1.4,2.3,.643,0.3,3.1,3.4,1.1,0.5,1.1,1.1,3.4,14.0
