Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2005-06,23,MEM,NBA,PF,68,724,11.0,.499,.000,.504,7.3,16.8,12.1,7.5,1.1,2.3,16.7,22.5,,-0.3,1.1,0.8,.053,,-5.3,-0.3,-5.5,-0.6
2006-07,24,MEM,NBA,PF,82,2152,15.9,.592,.011,.545,7.2,16.1,11.7,6.0,1.0,1.1,15.4,21.9,,3.2,0.5,3.7,.082,,-0.7,-2.0,-2.8,-0.4
2007-08,25,MEM,NBA,PF,75,1754,16.2,.555,.074,.398,7.8,15.0,11.4,5.2,1.0,1.2,10.0,21.6,,2.5,0.8,3.3,.090,,-0.9,-2.1,-3.1,-0.5
2008-09,26,MEM,NBA,PF,82,2029,16.9,.554,.033,.540,7.7,17.0,12.3,5.9,1.3,1.6,10.3,22.0,,3.0,1.7,4.7,.111,,-1.1,-1.4,-2.4,-0.2
2009-10,27,TOT,NBA,PF,76,1557,15.6,.547,.013,.498,9.0,13.9,11.4,5.6,0.8,0.9,10.7,21.8,,2.2,1.8,4.0,.124,,-1.6,-1.1,-2.8,-0.3
2009-10,27,MIL,NBA,PF,48,1024,15.6,.540,.016,.455,9.2,14.6,11.8,5.8,0.9,0.8,11.2,22.6,,1.2,1.3,2.5,.119,,-1.8,-0.8,-2.6,-0.2
2009-10,27,CHI,NBA,PF,28,533,15.7,.560,.006,.593,8.5,12.8,10.6,5.2,0.7,1.1,9.6,20.2,,1.0,0.5,1.5,.133,,-1.4,-1.7,-3.1,-0.2
2010-11,28,PHO,NBA,PF,80,1416,16.5,.581,.025,.659,7.2,17.0,12.1,7.6,1.1,0.5,12.1,20.9,,2.6,0.8,3.4,.116,,-0.8,-1.2,-1.9,0.0
2011-12,29,PHO,NBA,PF,35,503,13.1,.503,.056,.550,7.0,13.5,10.3,9.3,0.8,0.4,13.9,23.4,,0.3,0.2,0.5,.050,,-2.4,-1.8,-4.2,-0.3
2012-13,30,TOT,NBA,PF,28,489,11.5,.476,.018,.533,4.8,16.4,10.4,8.9,1.4,1.0,12.5,21.7,,-0.1,0.1,0.0,-0.001,,-4.4,-2.5,-6.9,-0.6
2012-13,30,NOH,NBA,PF,1,7,28.8,.694,.000,1.000,0.0,0.0,0.0,0.0,7.7,0.0,0.0,19.1,,0.0,0.0,0.1,.353,,4.1,0.3,4.4,0.0
2012-13,30,CHA,NBA,PF,27,482,11.3,.473,.018,.528,4.8,16.6,10.6,9.0,1.3,1.0,12.6,21.7,,-0.2,0.1,-0.1,-0.007,,-4.5,-2.6,-7.1,-0.6
