Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2008-09,23,GSW,NBA,SG,67,1515,14.7,.588,.345,.172,5.6,8.7,7.1,8.2,1.2,0.5,8.3,17.7,,3.0,0.0,3.0,.096,,1.9,-2.9,-1.0,0.4
2009-10,24,GSW,NBA,SG,69,2018,14.0,.597,.437,.162,3.3,11.1,7.1,7.6,1.5,0.6,10.0,17.8,,3.0,0.6,3.5,.084,,1.4,-1.9,-0.5,0.7
2010-11,25,NJN,NBA,SG,58,1856,12.1,.573,.419,.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18.0,,2.6,0.4,3.0,.078,,1.1,-2.3,-1.2,0.4
2011-12,26,NJN,NBA,SG,62,1636,13.1,.531,.435,.158,2.1,7.0,4.5,6.8,1.5,0.4,9.0,21.6,,1.7,0.0,1.7,.051,,0.4,-3.4,-3.0,-0.4
2012-13,27,TOT,NBA,SG,41,383,12.0,.530,.297,.152,3.3,5.6,4.5,5.6,1.8,0.2,4.9,19.6,,0.4,0.3,0.7,.084,,-1.1,-2.8,-3.9,-0.2
2012-13,27,ATL,NBA,SG,24,301,12.3,.526,.342,.162,3.9,6.0,4.9,4.8,2.1,0.3,3.3,18.9,,0.4,0.3,0.6,.100,,-0.7,-2.3,-3.0,-0.1
2012-13,27,DAL,NBA,SG,17,82,10.9,.545,.147,.118,1.4,4.0,2.7,8.3,0.6,0.0,10.1,22.1,,0.0,0.0,0.0,.028,,-2.6,-4.8,-7.4,-0.1
2013-14,28,NOP,NBA,SG,76,1426,13.9,.570,.375,.167,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,,2.1,0.3,2.4,.081,,0.8,-3.1,-2.4,-0.1
2014-15,29,OKC,NBA,SG,74,1806,14.8,.604,.528,.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,,4.4,1.2,5.7,.151,,2.4,-1.8,0.6,1.2
2015-16,30,OKC,NBA,SG,68,926,10.7,.543,.613,.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,,1.4,0.5,1.9,.097,,0.5,-3.2,-2.7,-0.2
2016-17,31,OKC,NBA,SG,34,546,9.3,.506,.526,.126,2.1,2.6,2.3,4.7,1.4,0.3,3.4,16.3,,0.4,0.3,0.8,.067,,-1.6,-3.2,-4.8,-0.4
