Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,GSW,NBA,SG,67,17,1515,6.1,12.7,.478,2.0,4.4,.467,4.0,8.3,.483,1.9,2.2,.870,1.9,2.9,4.7,1.9,0.9,0.3,1.2,3.1,16.1
2009-10,24,GSW,NBA,SG,69,37,2018,5.9,12.5,.468,2.5,5.5,.456,3.4,7.1,.477,1.8,2.0,.886,1.1,3.5,4.6,1.9,1.2,0.3,1.5,2.8,16.0
2010-11,25,NJN,NBA,SG,58,47,1856,5.4,12.0,.450,2.1,5.0,.423,3.3,7.0,.469,1.9,2.1,.897,0.7,2.6,3.3,1.3,0.4,0.1,1.0,2.6,14.8
2011-12,26,NJN,NBA,SG,62,18,1636,6.0,14.5,.413,2.3,6.3,.371,3.7,8.2,.446,2.1,2.3,.933,0.7,2.1,2.8,1.3,1.0,0.2,1.5,1.9,16.4
2012-13,27,TOT,NBA,SG,41,1,383,6.0,13.6,.441,1.5,4.0,.372,4.5,9.6,.471,1.9,2.1,.909,1.0,1.8,2.8,1.2,1.2,0.1,0.8,4.0,15.4
2012-13,27,ATL,NBA,SG,24,1,301,5.6,13.3,.423,1.8,4.5,.395,3.8,8.7,.438,1.9,2.2,.889,1.2,1.9,3.1,1.1,1.4,0.1,0.5,3.9,15.0
2012-13,27,DAL,NBA,SG,17,0,82,7.5,14.9,.500,0.4,2.2,.200,7.0,12.7,.552,1.8,1.8,1.000,0.4,1.3,1.8,1.8,0.4,0.0,1.8,4.4,17.1
2013-14,28,NOP,NBA,SG,76,9,1426,6.0,13.1,.458,2.2,4.9,.451,3.8,8.2,.462,1.8,2.2,.828,0.7,2.8,3.5,1.5,1.0,0.3,1.3,2.6,16.1
2014-15,29,OKC,NBA,SG,74,0,1806,5.7,12.3,.463,2.8,6.5,.434,2.9,5.8,.497,1.6,1.8,.888,0.8,3.1,3.9,1.2,1.1,0.2,0.8,2.7,15.7
2015-16,30,OKC,NBA,SG,68,6,926,5.3,12.9,.408,3.1,7.9,.387,2.2,5.0,.442,1.1,1.5,.744,0.4,2.0,2.4,0.9,0.9,0.2,0.7,2.5,14.8
2016-17,31,OKC,NBA,SG,34,7,546,5.0,12.5,.400,2.0,6.6,.300,3.0,5.9,.511,1.4,1.6,.875,0.7,0.9,1.5,1.1,1.1,0.1,0.5,2.6,13.4
