Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,24,MIL,NBA,PG,37,288,46%,54%,,,,-5.8,-10.7,13,3,4,12,,2,,155,7,3,3
2001-02,25,MIL,NBA,PG,50,600,95%,5%,,,,-4.0,-4.5,19,14,7,18,,1,,333,12,0,10
2002-03,26,TOR,NBA,PG,47,980,94%,6%,,,,-7.4,-0.9,59,11,16,47,,8,,419,25,6,18
2003-04,27,MIA,NBA,PG,82,2581,99%,1%,,,,+1.4,+2.2,89,30,9,84,,4,,841,35,3,21
2004-05,28,TOR,NBA,PG,80,2717,100%,,,,,-1.5,+0.1,115,29,26,86,,17,,1172,85,18,42
2005-06,29,HOU,NBA,PG,63,2431,98%,1%,1%,,,-2.0,-1.4,103,34,20,85,,3,,932,44,7,20
2006-07,30,HOU,NBA,PG,82,3040,99%,1%,,,,+8.2,+11.2,115,29,26,82,,9,,1001,44,5,33
2007-08,31,HOU,NBA,PG,74,2526,96%,4%,,,,+7.2,+4.7,111,26,23,47,,8,,866,55,9,35
2008-09,32,TOT,NBA,PG,77,2447,90%,10%,,,,+3.9,-3.3,96,27,17,0,,0,,931,0,10,52
2008-09,32,HOU,NBA,PG,48,1591,84%,16%,,,,+2.9,-2.7,59,19,10,33,,3,,584,32,1,19
2008-09,32,ORL,NBA,PG,29,856,100%,,,,,+5.8,-2.5,37,8,7,30,,5,,347,34,9,33
2009-10,33,TOT,NBA,PG,52,1421,100%,,,,,-4.9,-1.4,59,29,7,0,,0,,384,0,10,26
2009-10,33,NJN,NBA,PG,27,766,100%,,,,,-12.3,-2.6,38,19,4,25,,2,,223,25,7,15
2009-10,33,MIA,NBA,PG,25,655,100%,,,,,+4.2,+1.5,21,10,3,30,,1,,161,14,3,11
