Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rafer Alston,,6.6,5.9,5.5,5.3,5.0,3.4,1.2,0.7,0.3,-0.4,-0.7,
Kevin Porter,84.8,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,,
Don Chaney,84.1,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
Brian Winters,84.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,
Steve Jones,83.4,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,,,
Clem Haskins,83.4,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1.0,,,
Dave Twardzik,83.1,7.5,5.5,5.1,5.1,3.7,3.0,2.4,1.1,,,,
Jeff Teague,82.3,7.7,6.1,6.0,5.9,5.2,1.7,0.6,,,,,
Bryant Stith,82.0,6.8,5.6,5.2,4.8,3.0,1.6,1.6,0.7,0.5,-0.3,,
Paul Neumann,81.7,6.5,5.8,4.6,4.2,4.0,3.2,,,,,,
Jim Barnett,81.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
