Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2007-08,21,GSW,NBA,PG,33,241,38%,47%,14%,,,-9.3,-11.9,3,4,5,3,,3,,35,5,2,5
2008-09,22,GSW,NBA,SG,42,882,7%,93%,1%,,,-4.7,-0.9,37,16,6,32,,2,,198,18,6,15
2009-10,23,TOR,NBA,SG,66,1121,3%,92%,5%,,,+1.8,+5.4,34,14,12,30,,7,,195,42,7,22
2010-11,24,NOH,NBA,SG,80,1957,,79%,21%,,,+1.2,+0.9,33,20,24,66,,13,,199,47,9,32
2011-12,25,NOH,NBA,SG,66,1966,36%,63%,1%,,,-6.6,-6.2,33,27,9,47,,4,,214,41,12,22
2012-13,26,CHI,NBA,SG,73,1882,1%,97%,2%,,,-1.1,-3.2,40,26,16,48,,6,7,333,55,13,44
2013-14,27,SAS,NBA,SF,80,2016,2%,39%,58%,,,+7.4,-1.7,55,23,17,52,5,9,6,419,48,19,36
2014-15,28,SAS,NBA,SG,62,1388,11%,84%,5%,,,+0.1,-10.0,33,18,9,28,4,4,4,226,35,4,9
2015-16,29,SAC,NBA,SG,68,1672,,56%,43%,1%,,-6.4,-6.2,45,23,12,40,3,4,4,300,48,17,9
2016-17,30,CHO,NBA,SG,45,1111,,74%,26%,,,-1.3,-4.3,6,31,3,29,0,1,3,203,30,6,7
