Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2004-05,25,CHI,NBA,SF,81,1892,10.1,.484,.161,.369,4.1,18.6,11.4,10.9,1.0,1.3,16.2,19.7,,-0.9,3.3,2.5,.062,,-3.9,1.7,-2.1,-0.1
2005-06,26,CHI,NBA,PF,82,2239,16.1,.567,.286,.291,4.6,21.0,12.8,9.0,0.9,1.8,11.3,21.3,,3.3,3.4,6.7,.144,,0.2,0.8,1.0,1.7
2006-07,27,CHI,NBA,PF,53,1406,15.6,.578,.358,.248,3.4,20.9,12.2,7.0,1.0,1.3,13.8,23.8,,1.4,2.6,4.1,.139,,-0.4,-0.2,-0.6,0.5
2007-08,28,CHI,NBA,SF,82,2021,13.6,.549,.395,.277,2.6,17.0,9.5,8.3,0.6,1.7,11.9,24.5,,1.5,1.8,3.3,.077,,-0.3,-2.1,-2.4,-0.2
2008-09,29,TOT,NBA,PF-SF,76,1991,12.2,.555,.444,.261,3.1,17.8,10.5,8.3,1.0,1.2,12.6,20.1,,1.4,1.4,2.8,.068,,-0.4,-1.6,-2.0,0.0
2008-09,29,CHI,NBA,PF,53,1278,11.4,.547,.465,.276,3.1,16.8,9.9,7.4,1.0,0.9,12.7,20.1,,0.8,1.1,1.9,.072,,-0.5,-1.7,-2.2,-0.1
2008-09,29,SAC,NBA,SF,23,713,13.6,.568,.405,.234,3.3,19.6,11.4,9.9,0.9,1.8,12.6,20.0,,0.6,0.3,0.9,.060,,-0.2,-1.5,-1.7,0.1
2009-10,30,SAC,NBA,SF,75,1477,11.1,.504,.424,.169,2.5,14.9,8.6,8.0,1.1,1.3,9.6,20.9,,0.4,1.0,1.3,.044,,-1.5,-1.9,-3.4,-0.5
2010-11,31,PHI,NBA,SF,54,931,10.1,.538,.426,.220,2.4,18.6,10.5,7.4,0.8,1.2,13.4,17.4,,0.2,1.1,1.3,.067,,-2.3,-0.6,-3.0,-0.2
2011-12,32,PHI,NBA,SF,11,56,1.8,.342,.300,.550,2.0,25.9,13.9,2.6,1.0,1.3,16.8,25.0,,-0.3,0.1,-0.2,-0.139,,-11.8,-2.7,-14.5,-0.2
