Player,Sim,1,2,3,4,5,6,7,8
Andres Nocioni,,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Alan Henderson,87.3,6.0,4.3,3.1,2.6,2.0,1.9,1.3,0.7
Adam Keefe,86.9,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Buck Johnson,86.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,
Pervis Ellison,85.9,6.9,4.0,3.9,2.6,1.8,0.7,0.4,0.0
Al Harrington,85.9,5.9,3.9,3.8,2.6,1.6,1.2,1.0,-0.2
J.J. Hickson,85.6,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8
Matt Barnes,85.5,5.9,3.7,3.0,3.0,2.3,1.0,0.7,0.4
Patrick Patterson,84.9,6.1,4.1,3.8,3.6,2.4,1.6,,
Gary Trent,84.6,5.5,4.0,3.3,3.1,3.0,1.7,0.4,0.1
Dick Schnittker,83.9,6.2,5.3,3.5,2.8,2.6,1.6,,
