Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,27,DAL,NBA,SF,10,10,43.4,7.2,20.0,.360,1.7,4.7,.362,5.5,15.3,.359,.403,3.6,4.4,.818,1.3,4.0,5.3,4.4,1.2,0.2,2.4,2.3,19.7
2001-02,28,DAL,NBA,SF,8,8,46.6,8.6,18.5,.466,1.8,4.6,.378,6.9,13.9,.495,.514,5.6,6.3,.900,1.6,4.6,6.3,2.3,1.5,0.5,1.9,3.0,24.6
2002-03,29,DAL,NBA,SF,20,20,41.1,6.6,15.1,.435,2.4,5.7,.412,4.2,9.4,.449,.513,2.9,3.3,.864,1.3,4.5,5.8,3.0,1.3,0.6,1.6,2.3,18.3
2003-04,30,DAL,NBA,SG,5,5,39.2,5.2,13.6,.382,1.4,5.2,.269,3.8,8.4,.452,.434,1.2,2.0,.600,1.2,2.0,3.2,2.6,0.8,0.6,1.8,1.6,13.0
2004-05,31,DAL,NBA,SG,13,13,37.8,5.0,11.8,.425,1.8,4.7,.393,3.2,7.1,.446,.503,1.2,1.4,.889,1.0,3.3,4.3,2.2,1.3,0.0,1.0,2.5,13.1
2005-06,32,SAS,NBA,SG,13,4,31.6,3.8,8.1,.476,1.4,3.6,.383,2.5,4.5,.552,.562,1.4,1.5,.900,0.1,3.7,3.8,1.4,0.6,0.2,0.7,1.5,10.5
2006-07,33,SAS,NBA,SF,20,20,26.9,3.7,8.9,.410,2.2,5.3,.419,1.5,3.7,.397,.534,1.8,2.0,.897,0.4,2.5,2.9,1.1,0.6,0.2,0.7,1.4,11.3
2007-08,34,SAS,NBA,SG,17,11,23.0,2.5,6.3,.402,1.1,3.1,.365,1.4,3.2,.436,.491,0.5,0.5,1.000,0.1,1.9,1.9,1.0,0.3,0.2,0.4,1.5,6.7
2008-09,35,SAS,NBA,SF,5,5,28.6,3.0,6.8,.441,1.4,3.0,.467,1.6,3.8,.421,.544,0.6,0.8,.750,0.6,2.4,3.0,1.0,0.2,0.2,0.8,1.6,8.0
2009-10,36,BOS,NBA,SF,18,0,6.0,0.3,1.1,.250,0.2,0.6,.273,0.1,0.5,.222,.325,0.1,0.1,1.000,0.1,0.6,0.6,0.2,0.2,0.0,0.0,0.2,0.8
