Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,27,DAL,NBA,SF,10,10,434,6.0,16.6,.360,1.4,3.9,.362,4.6,12.7,.359,3.0,3.6,.818,1.1,3.3,4.4,3.6,1.0,0.2,2.0,1.9,16.3
2001-02,28,DAL,NBA,SF,8,8,373,6.7,14.3,.466,1.4,3.6,.378,5.3,10.7,.495,4.3,4.8,.900,1.3,3.6,4.8,1.7,1.2,0.4,1.4,2.3,19.0
2002-03,29,DAL,NBA,SF,20,20,822,5.7,13.2,.435,2.1,5.0,.412,3.7,8.2,.449,2.5,2.9,.864,1.1,3.9,5.0,2.6,1.1,0.5,1.4,2.0,16.0
2003-04,30,DAL,NBA,SG,5,5,196,4.8,12.5,.382,1.3,4.8,.269,3.5,7.7,.452,1.1,1.8,.600,1.1,1.8,2.9,2.4,0.7,0.6,1.7,1.5,11.9
2004-05,31,DAL,NBA,SG,13,13,491,4.8,11.2,.425,1.8,4.5,.393,3.0,6.7,.446,1.2,1.3,.889,1.0,3.2,4.1,2.1,1.2,0.0,1.0,2.3,12.5
2005-06,32,SAS,NBA,SG,13,4,411,4.4,9.2,.476,1.6,4.1,.383,2.8,5.1,.552,1.6,1.8,.900,0.1,4.2,4.3,1.6,0.7,0.3,0.8,1.7,11.9
2006-07,33,SAS,NBA,SF,20,20,538,4.9,11.9,.410,2.9,7.0,.419,1.9,4.9,.397,2.3,2.6,.897,0.5,3.3,3.9,1.5,0.7,0.3,0.9,1.9,15.1
2007-08,34,SAS,NBA,SG,17,11,391,4.0,9.9,.402,1.7,4.8,.365,2.2,5.1,.436,0.8,0.8,1.000,0.1,2.9,3.0,1.6,0.5,0.3,0.6,2.3,10.5
2008-09,35,SAS,NBA,SF,5,5,143,3.8,8.6,.441,1.8,3.8,.467,2.0,4.8,.421,0.8,1.0,.750,0.8,3.0,3.8,1.3,0.3,0.3,1.0,2.0,10.1
2009-10,36,BOS,NBA,SF,18,0,108,1.7,6.7,.250,1.0,3.7,.273,0.7,3.0,.222,0.7,0.7,1.000,0.3,3.3,3.7,1.3,1.3,0.0,0.0,1.3,5.0
