Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2008-09,21,PHI,NBA,C,79,1263,,,,16%,84%,-4.9,-7.0,14,10,22,104,,9,,72,62,11,34
2009-10,22,PHI,NBA,C,62,1016,,,,15%,85%,-10.2,-7.3,15,17,19,86,,9,,81,72,12,21
2010-11,23,PHI,NBA,C,64,734,,,,7%,93%,+4.5,+3.5,9,15,16,68,,10,,63,33,5,18
2011-12,24,MEM,NBA,PF,60,1345,,,,69%,31%,-2.1,-7.5,27,25,22,70,,8,,103,54,13,35
2012-13,25,TOT,NBA,C,79,1300,,,,21%,79%,-4.8,-5.3,33,23,24,0,,0,0,106,0,9,51
2012-13,25,MEM,NBA,C,40,579,,,,40%,60%,-2.7,-8.8,17,8,10,47,,6,1,39,29,5,19
2012-13,25,CLE,NBA,C,39,721,,,,6%,94%,-6.4,-1.5,16,15,14,40,,7,1,67,50,4,32
2013-14,26,GSW,NBA,C,79,982,,,,23%,77%,-6.3,-15.0,18,22,25,61,4,19,1,76,62,18,22
2014-15,27,GSW,NBA,C,76,1207,,,,5%,95%,+7.3,-5.1,32,19,31,104,11,19,1,162,84,13,25
2015-16,28,GSW,NBA,C,72,832,,,,16%,84%,+1.6,-12.0,10,31,25,50,6,15,3,144,54,14,31
2016-17,29,LAC,NBA,C,50,835,,,,8%,92%,+0.1,-5.2,3,24,9,67,19,5,5,111,50,10,17
