Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2002-03,22,SEA,NBA,PF,67,1365,10.4,.510,.000,1.100,14.2,24.3,19.2,3.7,1.5,0.6,20.0,8.9,,1.3,1.7,3.0,.105,,-2.7,0.9,-1.8,0.1
2003-04,23,SEA,NBA,PF,75,1280,9.9,.471,.018,.897,14.5,23.0,18.8,3.7,2.3,0.6,22.0,10.7,,0.7,1.1,1.7,.065,,-2.5,0.4,-2.1,0.0
2004-05,24,SEA,NBA,PF,79,1881,13.0,.512,.007,.851,16.6,31.2,23.9,4.7,1.7,0.6,21.6,11.8,,1.5,2.3,3.8,.096,,-1.3,1.1,-0.2,0.9
2005-06,25,TOT,NBA,PF,67,1393,12.5,.519,.004,.810,14.6,28.3,21.4,4.0,1.5,0.5,19.0,14.4,,0.8,1.3,2.1,.072,,-2.6,-0.9,-3.5,-0.5
2005-06,25,SEA,NBA,PF,41,788,15.0,.536,.006,.694,17.2,25.2,21.2,4.4,1.6,0.5,15.4,15.2,,1.2,0.3,1.5,.090,,-0.4,-1.9,-2.3,-0.1
2005-06,25,DEN,NBA,PF,26,605,9.2,.490,.000,1.021,11.1,32.3,21.8,3.5,1.4,0.6,24.2,13.4,,-0.4,1.0,0.6,.048,,-5.4,0.4,-4.9,-0.4
2006-07,26,DEN,NBA,PF,66,1127,13.5,.550,.000,.851,15.8,29.9,23.0,5.7,1.8,1.0,24.3,14.8,,0.4,1.9,2.3,.096,,-2.7,1.1,-1.6,0.1
2007-08,27,PHI,NBA,PF,81,1879,11.0,.463,.003,.743,14.0,24.7,19.3,5.0,2.4,0.3,19.0,13.6,,-0.3,3.0,2.7,.068,,-2.9,1.4,-1.5,0.2
2008-09,28,PHI,NBA,PF,79,1137,10.4,.514,.006,.983,14.1,24.0,19.0,3.3,1.9,0.6,21.3,13.0,,0.3,1.6,1.9,.079,,-3.3,0.1,-3.1,-0.3
2009-10,29,TOR,NBA,PF,28,311,11.4,.498,.000,.870,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,,-0.1,0.3,0.2,.033,,-4.1,-0.8,-4.9,-0.2
2010-11,30,TOR,NBA,PF,30,798,12.4,.466,.010,.854,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,,0.5,0.8,1.3,.077,,-1.8,1.4,-0.4,0.3
2011-12,31,LAC,NBA,PF,56,771,9.2,.504,.000,.986,15.3,26.7,20.9,3.1,2.2,0.6,29.9,8.8,,0.2,1.0,1.3,.079,,-3.3,1.1,-2.2,0.0
2012-13,32,BRK,NBA,PF,80,1967,12.8,.506,.000,.851,15.5,38.0,26.7,3.2,2.0,0.5,23.6,11.0,,0.8,3.5,4.3,.105,,-3.2,1.3,-1.8,0.1
2013-14,33,TOT,NBA,PF,54,899,11.7,.516,.000,.867,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,,0.3,1.2,1.5,.080,,-3.5,-0.1,-3.6,-0.4
2013-14,33,BRK,NBA,PF,30,399,9.0,.462,.000,1.102,15.9,28.7,22.4,1.8,1.7,0.4,24.2,13.6,,-0.1,0.5,0.4,.046,,-5.6,-1.3,-6.9,-0.5
2013-14,33,SAC,NBA,PF,24,500,13.8,.556,.000,.714,13.8,28.1,20.9,4.8,2.4,0.2,20.1,13.2,,0.5,0.7,1.1,.107,,-1.9,0.9,-0.9,0.1
2014-15,34,SAC,NBA,PF,47,764,11.7,.490,.015,.708,14.9,29.0,22.2,6.1,1.4,0.5,20.0,13.0,,0.4,0.8,1.2,.074,,-2.7,0.0,-2.7,-0.1
