Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,WAS,NBA,C,75,14,1143,6.0,12.2,.494,0.0,0.0,,6.0,12.2,.494,3.4,5.1,.660,3.8,5.5,9.3,0.7,1.0,2.4,1.9,4.9,15.4
2009-10,22,WAS,NBA,C,60,19,968,5.8,11.4,.508,0.0,0.0,.000,5.8,11.4,.510,2.8,4.3,.638,3.3,5.8,9.0,0.5,0.6,3.8,1.9,4.5,14.4
2010-11,23,WAS,NBA,C,79,75,2193,5.5,9.9,.550,0.0,0.0,.000,5.5,9.9,.552,2.2,3.8,.583,3.7,6.7,10.4,0.6,0.7,3.2,1.7,3.8,13.1
2011-12,24,TOT,NBA,C,61,45,1535,7.2,12.9,.556,0.0,0.0,,7.2,12.9,.556,1.8,3.9,.461,3.8,7.4,11.2,0.7,0.8,3.1,2.0,3.9,16.2
2011-12,24,WAS,NBA,C,41,40,1124,6.9,12.8,.535,0.0,0.0,,6.9,12.8,.535,1.9,3.7,.500,4.1,7.5,11.6,0.8,0.8,3.2,2.2,3.8,15.6
2011-12,24,DEN,NBA,C,20,5,411,8.1,13.3,.612,0.0,0.0,,8.1,13.3,.612,1.7,4.5,.373,3.2,6.9,10.1,0.5,0.9,2.7,1.7,4.2,18.0
2012-13,25,DEN,NBA,C,79,0,1433,7.6,13.2,.575,0.0,0.0,1.000,7.6,13.2,.574,2.8,4.7,.591,4.0,5.6,9.6,0.6,0.8,3.9,2.3,4.6,18.0
2013-14,26,DEN,NBA,C,5,5,79,7.7,17.3,.447,0.0,0.0,,7.7,17.3,.447,0.5,0.5,1.000,4.6,3.2,7.7,0.9,0.5,3.2,3.6,7.3,15.9
2014-15,27,TOT,NBA,C,23,0,256,5.9,11.1,.532,0.0,0.0,,5.9,11.1,.532,3.1,4.6,.667,2.5,6.0,8.6,0.4,0.3,2.8,2.5,4.2,14.9
2014-15,27,DEN,NBA,C,17,0,195,6.3,11.3,.557,0.0,0.0,,6.3,11.3,.557,3.7,5.4,.690,2.6,6.3,8.9,0.2,0.4,3.5,2.4,5.2,16.2
2014-15,27,PHI,NBA,C,6,0,61,4.7,10.6,.444,0.0,0.0,,4.7,10.6,.444,1.2,2.4,.500,2.4,5.3,7.7,1.2,0.0,0.6,3.0,1.2,10.6
2015-16,28,DAL,NBA,C,34,2,370,7.5,13.0,.575,0.0,0.1,.000,7.5,12.9,.579,1.8,3.5,.500,5.2,7.8,12.9,0.3,0.5,2.5,2.0,4.8,16.7
2016-17,29,GSW,NBA,C,45,4,387,10.9,15.9,.684,0.0,0.3,.000,10.9,15.6,.696,2.6,5.7,.459,4.0,7.3,11.3,0.9,1.0,3.0,2.6,5.4,24.4
