Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2008-09,21,WAS,NBA,C,75,14,1143,8.8,17.9,.494,0.0,0.0,,8.8,17.9,.494,4.9,7.5,.660,5.5,8.0,13.6,1.1,1.5,3.5,2.8,7.2,22.6,,107,110
2009-10,22,WAS,NBA,C,60,19,968,8.4,16.6,.508,0.0,0.1,.000,8.4,16.6,.510,4.0,6.3,.638,4.8,8.4,13.1,0.8,0.9,5.5,2.8,6.6,20.9,,106,105
2010-11,23,WAS,NBA,C,79,75,2193,7.7,14.1,.550,0.0,0.1,.000,7.7,14.0,.552,3.1,5.4,.583,5.2,9.6,14.8,0.9,1.0,4.5,2.4,5.4,18.6,,111,106
2011-12,24,TOT,NBA,C,61,45,1535,10.3,18.6,.556,0.0,0.0,,10.3,18.6,.556,2.6,5.6,.461,5.5,10.6,16.0,1.0,1.2,4.4,2.9,5.6,23.2,,106,101
2011-12,24,WAS,NBA,C,41,40,1124,9.9,18.5,.535,0.0,0.0,,9.9,18.5,.535,2.7,5.4,.500,5.9,10.8,16.7,1.2,1.2,4.7,3.1,5.4,22.4,,104,101
2011-12,24,DEN,NBA,C,20,5,411,11.5,18.8,.612,0.0,0.0,,11.5,18.8,.612,2.4,6.3,.373,4.5,9.8,14.3,0.7,1.2,3.8,2.4,6.0,25.4,,111,102
2012-13,25,DEN,NBA,C,79,0,1433,10.7,18.6,.575,0.0,0.0,1.000,10.6,18.5,.574,3.9,6.6,.591,5.6,7.9,13.4,0.8,1.1,5.5,3.2,6.5,25.3,,112,102
2013-14,26,DEN,NBA,C,5,5,79,10.5,23.5,.447,0.0,0.0,,10.5,23.5,.447,0.6,0.6,1.000,6.2,4.3,10.5,1.2,0.6,4.3,5.0,9.9,21.7,,87,108
2014-15,27,TOT,NBA,C,23,0,256,8.2,15.4,.532,0.0,0.0,,8.2,15.4,.532,4.3,6.4,.667,3.5,8.4,11.9,0.6,0.4,3.9,3.5,5.9,20.7,,101,106
2014-15,27,DEN,NBA,C,17,0,195,8.7,15.6,.557,0.0,0.0,,8.7,15.6,.557,5.1,7.4,.690,3.6,8.7,12.3,0.3,0.5,4.9,3.3,7.2,22.5,,107,105
2014-15,27,PHI,NBA,C,6,0,61,6.6,14.8,.444,0.0,0.0,,6.6,14.8,.444,1.6,3.3,.500,3.3,7.4,10.7,1.6,0.0,0.8,4.1,1.6,14.8,,82,109
2015-16,28,DAL,NBA,C,34,2,370,10.6,18.4,.575,0.0,0.1,.000,10.6,18.3,.579,2.5,5.0,.500,7.3,11.0,18.3,0.4,0.7,3.6,2.9,6.7,23.7,,110,103
2016-17,29,GSW,NBA,C,45,4,387,14.4,21.1,.684,0.0,0.4,.000,14.4,20.7,.696,3.4,7.5,.459,5.3,9.6,14.9,1.2,1.4,3.9,3.4,7.1,32.3,,116,100
