Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2008-09,22,MIL,NBA,PF,82,2114,,,26%,71%,3%,-0.6,+1.5,46,21,33,96,,14,,192,85,19,46
2009-10,23,MIL,NBA,PF,73,1866,,,37%,63%,,+1.9,-0.0,21,18,31,92,,13,,192,64,19,44
2010-11,24,MIL,NBA,PF,79,2093,,,30%,69%,1%,-0.5,+0.7,32,17,28,94,,14,,160,88,17,38
2011-12,25,MIL,NBA,PF,43,1009,,7%,40%,54%,,+3.1,+4.2,12,15,12,48,,5,,66,51,12,20
2012-13,26,MIL,NBA,SF,58,1326,,2%,80%,18%,,-1.6,+0.5,36,20,14,40,,8,0,128,62,8,37
2013-14,27,TOT,NBA,PF-SF,64,1003,,,48%,52%,,-6.2,-6.8,9,17,14,0,0,0,0,82,0,7,24
2013-14,27,SAC,NBA,SF,9,196,,,68%,32%,,-3.3,-0.2,0,1,3,9,0,3,1,36,5,1,5
2013-14,27,MIN,NBA,PF,55,807,,,43%,56%,,-6.9,-11.8,9,16,11,24,1,4,2,46,25,6,19
2014-15,28,PHI,NBA,PF,67,1916,,,22%,75%,3%,-9.5,-0.2,41,31,27,59,1,10,1,257,70,11,53
2015-16,29,LAC,NBA,PF,75,1274,,,27%,73%,1%,+9.7,+7.9,13,13,8,49,0,4,5,74,25,4,32
2016-17,30,LAC,NBA,PF,48,1087,,,58%,42%,,+10.0,+11.9,3,24,7,45,1,3,3,47,32,7,22
