Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Omer Asik,,5.5,5.0,2.7,2.6,2.4,1.7,,,,,,,
Blair Rasmussen,85.9,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
Mikki Moore,85.7,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Kevin Kunnert,84.3,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
JaVale McGee,82.7,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1,,,,,
Randy Breuer,82.4,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Nenad Krstic,80.1,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,,,,,,
Randy Denton,79.9,5.5,4.3,3.9,3.1,3.0,0.4,,,,,,,
Felton Spencer,79.3,5.6,4.7,2.4,2.0,2.0,1.3,1.1,0.9,0.5,0.4,0.3,-0.1,
John Gianelli,79.0,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,,,
Tim McCormick,78.5,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,,
