Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2005-06,24,SAC,NBA,SF,67,1301,,37%,62%,1%,,-0.8,-3.8,40,16,19,77,,8,,205,34,10,11
2006-07,25,SAC,NBA,SF,79,1410,9%,22%,66%,3%,,-0.2,+2.6,27,19,24,93,,12,,197,32,9,14
2007-08,26,SAC,NBA,SF,79,2096,1%,24%,73%,1%,,-3.2,-1.8,61,24,43,124,,24,,285,86,24,42
2008-09,27,SAC,NBA,SF,65,1975,,38%,56%,6%,,-11.3,-3.7,57,23,32,108,,15,,356,59,10,28
2009-10,28,SAC,NBA,SG,25,575,42%,57%,1%,,,-2.3,+2.6,10,8,3,26,,2,,94,7,2,8
2010-11,29,SAC,NBA,SF,58,1386,6%,28%,66%,,,-5.6,+0.3,18,16,11,69,,6,,160,25,6,17
2011-12,30,SAC,NBA,SF,49,798,4%,33%,63%,,,-7.9,-2.5,9,4,9,41,,3,,69,9,0,5
2012-13,31,TOT,NBA,SG-SF,58,1029,1%,56%,43%,,,-2.1,-1.5,20,5,7,0,,0,0,145,0,0,7
2012-13,31,SAC,NBA,SG,40,710,1%,67%,32%,,,-6.3,-1.1,11,4,5,46,,3,1,99,5,0,5
2012-13,31,HOU,NBA,SF,18,319,,33%,67%,,,+7.0,+3.6,9,1,2,14,,1,0,46,2,0,2
2013-14,32,HOU,NBA,SF,55,1083,,34%,65%,1%,,+2.0,-3.9,15,9,6,67,2,1,4,149,6,0,13
2014-15,33,HOU,NBA,SF,14,200,,33%,60%,6%,,-2.3,-6.2,4,3,0,11,1,0,0,36,1,1,2
