Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,POR,NBA,PF,8,0,28,7.7,12.9,.600,0.0,1.3,.000,7.7,11.6,.667,0.0,0.0,,2.6,10.3,12.9,2.6,1.3,0.0,2.6,1.3,15.4
2008-09,21,IND,NBA,PF,33,0,279,4.5,10.7,.422,0.0,1.3,.000,4.5,9.4,.479,1.3,1.7,.769,3.4,6.2,9.5,2.1,1.5,2.1,1.5,5.3,10.3
2009-10,22,IND,NBA,C,42,3,524,5.2,10.0,.521,0.5,1.6,.348,4.7,8.5,.553,1.3,2.6,.500,2.7,6.0,8.7,3.0,1.2,1.1,1.3,5.1,12.3
2010-11,23,IND,NBA,PF,72,51,1597,4.8,8.7,.547,0.5,1.4,.383,4.2,7.3,.577,2.0,2.7,.739,2.5,6.2,8.6,3.4,1.1,1.3,2.1,3.7,12.0
2011-12,24,LAL,NBA,PF,50,6,718,2.8,5.9,.475,0.2,0.4,.429,2.7,5.6,.477,1.2,1.8,.639,3.1,5.5,8.6,2.6,0.8,0.9,1.6,3.7,6.9
2012-13,25,TOT,NBA,PF,67,22,1487,3.8,8.3,.455,0.6,2.0,.286,3.2,6.3,.510,1.6,2.1,.765,2.3,5.6,7.9,3.4,0.8,0.7,1.6,3.2,9.7
2012-13,25,ORL,NBA,PF,41,3,685,3.2,8.0,.392,0.9,2.9,.309,2.3,5.2,.439,1.2,1.6,.733,2.2,5.0,7.2,3.7,0.5,0.6,1.5,3.4,8.4
2012-13,25,CHA,NBA,PF,26,19,802,4.3,8.5,.505,0.3,1.3,.241,4.0,7.2,.553,1.9,2.5,.782,2.3,6.1,8.4,3.2,1.0,0.7,1.7,3.0,10.9
2013-14,26,CHA,NBA,PF,78,78,2360,3.8,8.6,.436,1.6,4.4,.361,2.2,4.2,.516,0.9,1.3,.729,1.3,4.4,5.7,5.1,0.9,0.7,1.3,2.9,10.1
2014-15,27,MIA,NBA,PF,17,4,296,3.4,6.4,.528,1.0,2.3,.421,2.4,4.1,.588,1.0,1.6,.615,0.9,4.6,5.5,4.0,1.5,0.4,2.7,5.0,8.8
2015-16,28,MIA,NBA,PF,42,1,595,3.3,9.0,.372,0.7,3.0,.245,2.6,6.0,.434,1.7,2.4,.700,1.3,5.0,6.4,4.9,1.1,0.4,1.8,4.1,9.1
2016-17,29,MIA,NBA,PF,22,14,381,4.2,11.1,.373,1.2,2.9,.419,2.9,8.2,.356,0.6,0.9,.667,2.2,4.8,7.0,4.7,0.9,0.4,2.2,2.9,10.1
