Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2007-08,20,POR,NBA,PF,8,28,.600,8.6,.900,.400,.200,.100,.200,.100,.667,.750,.500,1.000,.500,.000,.833,.300,3,,.000,,0,0
2008-09,21,IND,NBA,PF,33,279,.422,8.5,.880,.518,.133,.036,.193,.120,.479,.581,.273,.333,.375,.000,.657,.048,3,,.000,,0,0
2009-10,22,IND,NBA,C,42,524,.521,9.1,.842,.500,.137,.048,.158,.158,.553,.699,.350,.286,.348,.348,.676,.185,26,1.000,.217,.000,1,0
2010-11,23,IND,NBA,PF,72,1597,.547,8.7,.845,.479,.179,.067,.119,.155,.577,.724,.391,.385,.370,.383,.654,.202,74,1.000,.133,.250,0,0
2011-12,24,LAL,NBA,PF,50,718,.475,6.0,.941,.602,.186,.042,.110,.059,.477,.648,.091,.200,.308,.429,.774,.212,22,1.000,.143,1.000,0,0
2012-13,25,TOT,NBA,PF,67,1487,.455,11.3,.755,.402,.120,.047,.187,.245,.510,.616,.366,.563,.359,.286,.720,.131,42,.958,.333,.429,0,0
2012-13,25,ORL,NBA,PF,41,685,.392,13.5,.641,.333,.098,.052,.157,.359,.439,.490,.333,.375,.417,.309,.721,.085,13,.941,.345,.526,0,0
2012-13,25,CHA,NBA,PF,26,802,.505,9.6,.847,.458,.137,.042,.211,.153,.553,.690,.385,.750,.325,.241,.719,.168,29,1.000,.310,.222,0,0
2013-14,26,CHA,NBA,PF,78,2360,.436,16.5,.486,.251,.097,.034,.104,.514,.516,.634,.400,.632,.305,.361,.683,.064,31,.981,.082,.250,0,0
2014-15,27,MIA,NBA,PF,17,296,.528,11.8,.642,.415,.132,.038,.057,.358,.588,.682,.571,.500,.000,.421,.600,.151,8,.875,.000,,0,0
2015-16,28,MIA,NBA,PF,42,595,.372,13.4,.669,.264,.176,.088,.142,.331,.434,.564,.423,.154,.381,.245,.581,.061,8,1.000,.082,.250,1,0
2016-17,29,MIA,NBA,PF,22,381,.373,12.7,.737,.288,.144,.144,.153,.263,.356,.588,.059,.176,.389,.419,.516,.068,7,.923,.129,.250,0,0
