Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,23,MIN,NBA,SF,82,2856,,,94%,6%,,+4.2,+9.6,60,36,42,106,,13,,571,80,24,51
2001-02,24,MIN,NBA,SF,82,3117,,44%,52%,4%,,+4.9,+5.2,60,53,68,71,,35,,551,94,25,66
2002-03,25,MIN,NBA,SF,52,1836,,13%,86%,1%,,+3.9,+2.9,33,26,28,49,,22,,291,56,18,41
2003-04,26,MIN,NBA,SF,28,622,,,91%,9%,,+6.9,+1.0,12,10,6,16,,2,,74,23,6,21
2004-05,27,MIN,NBA,SF,81,2558,,,79%,21%,,+1.8,+0.5,43,33,56,69,,32,,424,123,26,40
2005-06,28,TOT,NBA,SF,72,2729,,,84%,15%,,0.0,+2.9,55,33,48,0,,0,,482,0,30,54
2005-06,28,MIN,NBA,SF,40,1555,,,79%,21%,,+1.7,+6.3,35,19,32,34,,16,,247,68,17,34
2005-06,28,BOS,NBA,SF,32,1174,,1%,92%,7%,,-2.0,-0.5,20,14,16,31,,8,,235,48,13,20
2006-07,29,BOS,NBA,SF,32,900,,2%,76%,20%,1%,-3.3,+0.8,17,13,24,36,,8,,126,42,12,20
2007-08,30,TOT,NBA,SF,75,1736,,22%,76%,2%,,-0.3,+5.7,31,19,26,0,,0,,227,0,12,30
2007-08,30,SEA,NBA,SF,50,1180,,12%,85%,3%,,-1.0,+11.4,23,15,18,30,,6,,148,41,11,19
2007-08,30,CLE,NBA,SF,25,556,,42%,56%,2%,,+1.4,+1.7,8,4,8,25,,3,,79,14,1,11
2008-09,31,CLE,NBA,SF,74,1527,,17%,79%,4%,,+5.4,-8.1,21,16,18,54,,10,,195,34,5,16
