Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,23,MIN,NBA,SF,82,2856,.510,12.9,.916,.223,.126,.154,.413,.084,.526,.688,.414,.415,.513,.338,.804,.008,7,.923,.286,.318,1,0
2001-02,24,MIN,NBA,SF,82,3117,.508,13.0,.841,.217,.161,.161,.303,.159,.517,.692,.446,.508,.435,.455,.657,.021,25,.920,.309,.542,1,0
2002-03,25,MIN,NBA,SF,52,1836,.481,14.7,.801,.169,.106,.166,.361,.199,.497,.593,.532,.455,.460,.421,.714,.021,13,.885,.455,.409,0,0
2003-04,26,MIN,NBA,SF,28,622,.449,15.2,.805,.123,.119,.153,.411,.195,.453,.517,.464,.472,.423,.435,.674,.004,0,.950,.435,.400,0,0
2004-05,27,MIN,NBA,SF,81,2558,.506,13.5,.816,.234,.102,.151,.329,.184,.536,.721,.521,.511,.421,.373,.721,.020,16,.921,.402,.368,0,0
2005-06,28,TOT,NBA,SF,72,2729,.487,14.4,.748,.216,.107,.137,.288,.252,.517,.708,.426,.446,.440,.400,.627,.022,21,.833,.345,.466,0,0
2005-06,28,MIN,NBA,SF,40,1555,.495,14.4,.758,.227,.090,.139,.302,.242,.523,.739,.396,.402,.455,.406,.650,.029,17,.793,.343,.490,0,0
2005-06,28,BOS,NBA,SF,32,1174,.476,14.5,.735,.201,.130,.135,.268,.265,.506,.659,.455,.509,.416,.393,.592,.012,4,.886,.348,.436,0,0
2006-07,29,BOS,NBA,SF,32,900,.415,16.0,.727,.160,.098,.113,.356,.273,.415,.597,.395,.318,.370,.415,.658,.008,3,.909,.217,.522,0,0
2007-08,30,TOT,NBA,SF,75,1736,.431,17.0,.698,.116,.094,.129,.359,.302,.438,.607,.412,.452,.386,.413,.661,.006,4,.944,.239,.462,0,0
2007-08,30,SEA,NBA,SF,50,1180,.460,17.0,.676,.123,.096,.131,.327,.324,.476,.635,.408,.478,.435,.428,.636,.006,3,.930,.193,.531,0,0
2007-08,30,CLE,NBA,SF,25,556,.359,16.9,.751,.100,.091,.124,.435,.249,.357,.524,.421,.385,.297,.365,.732,.005,1,1.000,.385,.350,0,0
2008-09,31,CLE,NBA,SF,74,1527,.450,17.9,.578,.111,.078,.121,.269,.422,.478,.591,.452,.375,.486,.411,.536,.008,3,.913,.357,.450,0,0
