Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2000-01,21,MIL,NBA,C,33,270,5.9,.339,.000,.314,12.3,17.5,14.9,1.0,0.6,8.2,24.6,8.9,,-0.2,0.3,0.1,.018,,-6.4,2.5,-3.9,-0.1
2001-02,22,MIL,NBA,C,71,1128,10.2,.523,.007,.634,8.4,20.1,14.5,2.7,0.9,7.6,19.1,9.3,,0.3,1.5,1.9,.079,,-4.4,3.0,-1.3,0.2
2002-03,23,MIL,NBA,C,32,546,7.9,.424,.000,.522,10.2,20.9,15.5,3.0,1.0,6.1,25.1,6.4,,0.1,0.5,0.6,.051,,-4.1,2.9,-1.3,0.1
2003-04,24,TOT,NBA,C,17,347,6.7,.385,.000,.620,10.5,25.5,18.1,2.9,0.8,3.6,22.0,10.7,,-0.3,0.4,0.1,.007,,-6.2,0.4,-5.8,-0.3
2003-04,24,MIL,NBA,C,5,33,3.4,.568,,,3.4,31.0,17.2,12.1,0.0,0.0,69.4,4.0,,0.0,0.0,0.0,.016,,-5.7,0.9,-4.8,0.0
2003-04,24,ATL,NBA,C,12,314,7.1,.382,.000,.580,11.3,25.0,18.2,1.9,0.8,4.0,20.3,11.4,,-0.3,0.3,0.0,.006,,-6.2,0.3,-5.9,-0.3
2004-05,25,POR,NBA,C,76,1858,15.5,.596,.000,.523,11.5,24.5,18.3,6.4,0.7,6.2,19.3,12.6,,2.0,2.7,4.7,.121,,-1.8,3.0,1.2,1.5
2005-06,26,POR,NBA,C,56,1395,15.3,.561,.000,.644,12.4,21.4,16.9,5.0,0.8,7.1,19.9,13.0,,1.0,1.2,2.3,.078,,-2.1,2.9,0.8,1.0
2006-07,27,POR,NBA,C,43,701,7.4,.467,.000,.346,10.3,19.7,14.9,2.6,0.8,7.6,30.8,8.7,,-0.5,0.8,0.3,.020,,-5.0,3.9,-1.0,0.2
2007-08,28,POR,NBA,C,77,1819,12.3,.611,.004,.488,12.7,29.3,21.0,2.3,0.4,4.0,23.8,10.4,,1.6,2.7,4.3,.113,,-3.2,1.9,-1.3,0.3
2008-09,29,POR,NBA,C,82,1952,15.4,.652,.004,.628,12.8,33.1,22.8,2.0,1.0,3.9,18.5,10.2,,3.2,3.4,6.6,.163,,-1.4,1.9,0.4,1.2
2009-10,30,POR,NBA,C,30,681,11.2,.567,.000,.593,13.0,30.4,21.6,1.7,0.6,5.1,26.5,10.3,,0.3,1.2,1.4,.101,,-4.1,2.2,-1.9,0.0
2010-11,31,TOT,NBA,C,36,519,6.2,.573,.000,.614,8.4,26.4,17.1,3.6,0.5,2.4,34.2,7.7,,-0.1,0.6,0.5,.046,,-5.5,0.8,-4.7,-0.4
2010-11,31,POR,NBA,C,31,445,7.2,.623,.000,.676,7.4,26.7,16.6,4.2,0.6,2.6,33.3,6.9,,0.1,0.6,0.6,.066,,-4.8,1.7,-3.1,-0.1
2010-11,31,CHA,NBA,C,5,74,0.3,.383,.000,.400,14.6,24.7,19.6,0.0,0.0,1.1,37.3,11.9,,-0.2,0.1,-0.1,-0.074,,-10.0,-4.1,-14.1,-0.2
2011-12,32,POR,NBA,C,27,449,6.0,.492,.000,.375,7.4,28.9,17.9,1.9,0.5,2.8,28.2,7.9,,-0.2,0.5,0.3,.034,,-6.1,0.8,-5.3,-0.4
2012-13,33,MIL,NBA,C,12,68,3.3,.205,.000,.500,7.6,26.2,16.6,7.6,0.7,2.1,45.0,5.7,,-0.1,0.1,0.0,-0.005,,-8.2,2.6,-5.6,-0.1
